"Life Regen",生命回复
"{0}% reduced Freeze Mine Damage","【冰冻地雷】的伤害降低 {0}%"
"{0}% increased Herald of Ash Damage","【灰烬之捷】的伤害提高 {0}%"
"{0}% reduced Herald of Ash Damage","【灰烬之捷】的伤害降低 {0}%"
"{0}% increased Herald of Ice Damage","【寒冰之捷】的伤害提高 {0}%"
"{0}% reduced Herald of Ice Damage","【寒冰之捷】的伤害降低 {0}%"
"{0}% increased Herald of Thunder Damage","【闪电之捷】的伤害提高 {0}%"
"{0}% reduced Herald of Thunder Damage","【闪电之捷】的伤害降低 {0}%"
"{0}% increased Tempest Shield Damage","【暴风之盾】的伤害提高 {0}%"
"{0}% reduced Tempest Shield Damage","【暴风之盾】的伤害降低 {0}%"
"{0}% increased Desecrate Damage","【亵渎】的伤害提高 {0}%"
"{0}% reduced Desecrate Damage","【亵渎】的伤害降低 {0}%"
"Blink Arrow and Blink Arrow Clones have {0}% increased Damage","【闪现射击】和其召唤生物的伤害提高 {0}%"
"Blink Arrow and Blink Arrow Clones have {0}% reduced Damage","【闪现射击】和其召唤生物的伤害降低 {0}%"
"Mirror Arrow and Mirror Arrow Clones deal {0}% increased Damage","【魅影射击】和其召唤生物的伤害提高 {0}%"
"Mirror Arrow and Mirror Arrow Clones deal {0}% reduced Damage","【魅影射击】和其召唤生物的伤害降低 {0}%"
"{0}% increased Riposte Damage","【击刃】的伤害提高 {0}%"
"{0}% reduced Riposte Damage","【击刃】的伤害降低 {0}%"
"{0}% increased Vengeance Damage","【复仇】的伤害提高 {0}%"
"{0}% reduced Vengeance Damage","【复仇】的伤害降低 {0}%"
"Converted Enemies have {0}% increased Damage","被你迷魅的敌人的伤害提高 {0}%"
"Converted Enemies have {0}% reduced Damage","被你迷魅的敌人的伤害降低 {0}%"
"{0}% increased Abyssal Cry Damage","【深渊战吼】的伤害提高 {0}%"
"{0}% reduced Abyssal Cry Damage","【深渊战吼】的伤害降低 {0}%"
"{0}% increased Shrapnel Shot Damage","【流星射击】的伤害提高 {0}%"
"{0}% reduced Shrapnel Shot Damage","【流星射击】的伤害降低 {0}%"
"{0}% increased Blast Rain Damage","【爆裂箭雨】的伤害提高 {0}%"
"{0}% reduced Blast Rain Damage","【爆裂箭雨】的伤害降低 {0}%"
"{0}% increased Essence Drain Damage","【灵魂吸取】的伤害提高 {0}%"
"{0}% reduced Essence Drain Damage","【灵魂吸取】的伤害降低 {0}%"
"{0}% increased Contagion Damage","【瘟疫】的伤害提高 {0}%"
"{0}% reduced Contagion Damage","【瘟疫】的伤害降低 {0}%"
"{0}% increased Blade Vortex Spell Damage","【飞刃风暴】的法术伤害提高 {0}%"
"{0}% reduced Blade Vortex Spell Damage","【飞刃风暴】的法术伤害降低 {0}%"
"{0}% increased Bladefall Damage","【虚空刀雨】的伤害提高 {0}%"
"{0}% reduced Bladefall Damage","【虚空刀雨】的伤害降低 {0}%"
"{0}% increased Ice Trap Damage","【冰冻陷阱】的伤害提高 {0}%"
"{0}% reduced Ice Trap Damage","【冰冻陷阱】的伤害降低 {0}%"
"{0}% increased Charged Dash Damage","【蓄力疾风闪】的伤害提高 {0}%"
"{0}% reduced Charged Dash Damage","【蓄力疾风闪】的伤害降低 {0}%"
"{0}% increased Earthquake Damage","【震地】的伤害提高 {0}%"
"{0}% reduced Earthquake Damage","【震地】的伤害降低 {0}%"
"{0}% increased Dark Pact Damage","【暗夜血契】的伤害提高 {0}%"
"{0}% reduced Dark Pact Damage","【暗夜血契】的伤害降低 {0}%"
"{0}% increased Storm Burst Damage","【裂风雷球】的伤害提高 {0}%"
"{0}% reduced Storm Burst Damage","【裂风雷球】的伤害降低 {0}%"
"{0}% increased Frost Bomb Damage","【寒霜爆】的伤害提高 {0}%"
"{0}% reduced Frost Bomb Damage","【寒霜爆】的伤害降低 {0}%"
"{0}% increased Orb of Storms Damage","【风暴漩涡】的伤害提高 {0}%"
"{0}% reduced Orb of Storms Damage","【风暴漩涡】的伤害降低 {0}%"
"{0}% increased Siege Ballista Damage","【攻城炮台】的伤害提高 {0}%"
"{0}% reduced Siege Ballista Damage","【攻城炮台】的伤害降低 {0}%"
"{0}% increased Blight Damage","枯萎的伤害提高 {0}%"
"{0}% reduced Blight Damage","枯萎的伤害降低 {0}%"
"{0}% increased Sunder Damage","【大地震击】的伤害提高 {0}%"
"{0}% reduced Sunder Damage","【大地震击】的伤害降低 {0}%"
"Regenerate {0}% of Life per second while Frozen","生命在冻结时每秒再生 {0}%"
"Regenerate {0}% of Energy Shield per second for each Enemy you or your Minions have Killed Recently, up to {1}% per second","近期内，你或你的召唤生物每击败一个敌人则每秒回复你 {0}% 能量护盾，每秒最多 {1}%"
"Cannot Be Stunned while you have Energy Shield",你有能量护盾时不能被眩晕
"Energy Shield Recharge is not interrupted by Damage if Recharge began Recently",能量护盾在近期内开始充能后不会被伤害打断
"{0}% more Damage per Totem","每存在 1 个图腾，总伤害额外提高 {0}%"
"{0}% less Damage per Totem","每存在 1 个图腾，总伤害额外降低 {0}%"
"{0}% more Totem Damage per Totem","每存在 1 个图腾，图腾总伤害额外提高 {0}%"
"{0}% less Totem Damage per Totem","每存在 1 个图腾，图腾总伤害额外降低 {0}%"
"Flasks do not apply to you",你不能获得药剂效果
"Flasks apply to your Raised Zombies and Spectres",你的魔卫和灵体可以获得药剂效果
"Modifiers to Minion Damage also affect you",你能获得召唤生物的伤害词缀效果
"Increases and Reductions to Minion Attack Speed also affect you",你能获得召唤生物攻击速度的增强与减弱效果
"Modifiers to Minion Cast Speed also affect you",你能获得召唤生物的施法速度词缀效果
"Modifiers to Minion Life Regeneration also affect you",你能获得召唤生物的生命再生词缀效果
"Modifiers to Minion Movement Speed also affect you",你能获得召唤生物的移动速度词缀效果
"Modifiers to Minion Resistances also affect you",你能获得召唤生物的抗性词缀效果
"When you Kill an Enemy, for each Curse on that Enemy, gain {0}% of Non-Chaos Damage as extra Chaos Damage for {1} seconds","当你击败敌人时，敌人身上每有 1 个诅咒，便给予你等同 {0}% 非混沌伤害的额外混沌伤害，持续 {1} 秒"
"Enemies you Curse take {0}% increased Damage","被你诅咒的敌人受到的伤害提高 {0}%"
"Enemies you Curse have Malediction",被你诅咒的敌人会遭受【恶语术】影响
"Attacks with this Weapon deal Double Damage to Chilled Enemies",该武器的攻击对被冰缓的敌人伤害翻倍
"Attacks with this Weapon Penetrate {0}% Elemental Resistances","该武器的攻击穿透 {0}% 的元素抗性"
"{0}% increased Damage while you have no Frenzy Charges","伤害在你没有狂怒球时提高 {0}%"
"{0}% reduced Damage while you have no Frenzy Charges","伤害在你没有狂怒球时降低 {0}%"
"Ghost Reaver during Flask effect",在药剂生效期间获得灵能护体
"Zealot's Oath during Flask effect",在药剂生效期间获得狂热誓言
"{0}% increased Critical Strike Chance against Enemies on Full Life","暴击率对满血敌人提高 {0}%"
"{0}% reduced Critical Strike Chance against Enemies on Full Life","暴击率对满血敌人降低 {0}%"
"{0}% of Attack Damage Leeched as Life on Critical Strike","攻击伤害的 {0}% 在暴击时转化为生命偷取"
"Minions' Attacks deal {0} to {1} additional Physical Damage","召唤生物的攻击额外造成 {0} - {1} 物理伤害"
"Minions deal {0} to {1} additional Chaos Damage","召唤生物附加 {0} - {1} 基础混沌伤害"
"Minions deal {0} to {1} additional Cold Damage","召唤生物附加 {0} - {1} 基础冰霜伤害"
"Minions deal {0} to {1} additional Fire Damage","召唤生物附加 {0} - {1} 基础火焰伤害"
"Minions deal {0} to {1} additional Lightning Damage","召唤生物造成 {0} 到 {1} 点额外闪电伤害"
"Minions deal {0} to {1} additional Physical Damage","召唤生物附加 {0} - {1} 基础物理伤害"
"Gain {0}% of Physical Attack Damage as Extra Fire Damage","获得等同 {0}% 物理攻击伤害的火焰伤害"
"Gain {0}% of Physical Attack Damage as Extra Cold Damage","获得额外冰霜伤害， 其数值等同于物理攻击伤害的 {0}%"
"Gain {0}% of Physical Attack Damage as Extra Lightning Damage","获得等同 {0}% 物理攻击伤害的闪电伤害"
"{0} maximum Energy Shield per {1} Strength","每 {1} 点力量使最大能量护盾提高 {0}"
"All Attacks are Critical Strikes",攻击永远暴击
"Counts as all One Handed Melee Weapon Types",可视为所有类型的单手近战武器
"Auras from your Skills grant {0}% of Life Regenerated per second to you and Allies","你技能的光环给你和周围队友每秒回复 {0}% 生命"
"Nearby Enemies cannot gain Power, Frenzy or Endurance Charges",周围敌人无法获得暴击，狂怒，或耐力球
"Grants Armour equal to {0}% of your Reserved Life to you and nearby Allies","给予你和周围友军等同你 {0}% 生命保留的额外护甲"
"Grants maximum Energy Shield equal to {0}% of your Reserved Mana to you and nearby Allies","给予你和周围友军等同你 {0}% 魔力保留的额外能量护盾"
"Every {0} seconds, Regenerate {1}% of Life over one second","每隔 {0} 秒，在一秒内回复 {1}% 生命"
"Deal {0}% of your maximum Life as Fire Damage to nearby Enemies when Hit","被击中时对周围敌人造成等同你 {0}% 最大生命的火焰伤害"
"Totems Reflect {0}% of their maximum Life as Fire Damage to nearby Enemies when Hit","图腾被击中时对周围敌人反射火焰伤害，等同它们 {0}% 的最大生命"
"{0}% more Attack Speed per Frenzy Charge","每个狂怒球使攻击速度总增 {0}%"
"Enemies near your Totems deal {0}% more Damage","在你图腾周围，敌人造成的伤害总增 {0}%"
"Enemies near your Totems deal {0}% less Damage","在你图腾周围，敌人造成的伤害总降 {0}%"
"Enemies near your Totems take {0}% increased Physical and Fire Damage","在你图腾周围，敌人受到的物理和火焰伤害提高 {0}%"
"Enemies near your Totems take {0}% reduced Physical and Fire Damage","在你图腾周围，敌人受到的物理和火焰伤害降低 {0}%"
"Your Traps deal {0}% more Damage with Hits and Ailments if they Armed Recently","近期内若有放置过陷阱，则陷阱造成的击中和后续异常状态伤害总增 {0}%"
"Your Traps deal {0}% less Damage with Hits and Ailments if they Armed Recently","近期内若有放置过陷阱，则陷阱造成的击中和后续异常状态伤害总降 {0}%"
"Traps deal {0}% more Damage with Hits and Ailments if they were not Armed Recently","近期内若没有放置过陷阱，则陷阱造成的击中和后续异常状态伤害总增 {0}%"
"Traps deal {0}% less Damage with Hits and Ailments if they were not Armed Recently","近期内若没有放置过陷阱，则陷阱造成的击中和后续异常状态伤害总降 {0}%"
"You are Immune to Damage during Flask Effect",你在药剂生效期间免疫伤害
"All Attacks with this Weapon are Critical Strikes",该武器的所有攻击都是暴击
"Traps and Mines deal {0} to {1} additional Physical Damage","陷阱和地雷造成 {0} - {1} 额外物理伤害"
"{0}% Chance for Traps to Trigger an additional time","陷阱有 {0}% 的几率额外触发一次"
"Traps Trigger an additional time",陷阱额外触发一次
"{0}% increased Physical Damage Over Time per {1} Dexterity","每 {1} 点敏捷可使持续物理伤害提高 {0}%"
"{0}% reduced Physical Damage Over Time per {1} Dexterity","每 {1} 点敏捷可使持续物理伤害降低 {0}%"
"{0}% increased Bleeding Duration per {1} Intelligence","每 {1} 点智慧可使流血持续时间延长 {0}%"
"{0}% reduced Bleeding Duration per {1} Intelligence","每 {1} 点智慧可使流血持续时间缩短 {0}%"
"{0}% Chance to cause Bleeding Enemies to Flee on hit","击中流血敌人时有 {0}% 的几率使敌人逃跑"
"Ancestral Protector Totem grants {0}% increased Attack Speed while Active","当先祖卫士图腾存在时，攻击速度加快 {0}%"
"Ancestral Protector Totem grants {0}% reduced Attack Speed while Active","当先祖卫士图腾存在时，攻击速度减慢 {0}%"
"Ancestral Blademaster Totem grants {0}% of Physical Damage as Extra Fire Damage while Active","先祖大剑师图腾生效时，给予你等同 {0}% 物理伤害的额外火焰伤害"
"Ancestral Warchief Totem grants {0}% increased Melee Damage while Active","先祖战士长图腾生效时，你的近战伤害提高 {0}%"
"Ancestral Warchief Totem grants {0}% reduced Melee Damage while Active","先祖战士长图腾生效时，你的近战伤害降低 {0}%"
"If you've Blocked in the past 10 seconds, you and nearby Allies cannot be Stunned","过去 10 秒内你若成功格挡，则你和周围友军无法被晕眩"
"{0}% increased Cleave Area of Effect","【劈砍】范围扩大 {0}%"
"{0}% reduced Cleave Area of Effect","【劈砍】范围缩小 {0}%"
"{0}% increased Ground Slam Area of Effect","【裂地之击】范围扩大 {0}%"
"{0}% reduced Ground Slam Area of Effect","【裂地之击】范围缩小 {0}%"
"{0}% increased Infernal Blow Area of Effect","【炼狱之击】范围扩大 {0}%"
"{0}% reduced Infernal Blow Area of Effect","【炼狱之击】范围缩小 {0}%"
"{0}% increased Lightning Tendrils Area of Effect","【电能释放】范围扩大 {0}%"
"{0}% reduced Lightning Tendrils Area of Effect","【电能释放】范围缩小 {0}%"
"{0}% increased Magma Orb Area of Effect","【熔岩之核】范围扩大 {0}%"
"{0}% reduced Magma Orb Area of Effect","【熔岩之核】范围缩小 {0}%"
"{0}% increased Reave Radius","【冲击波】范围扩大 {0}%"
"{0}% reduced Reave Radius","【冲击波】的范围缩小 {0}%"
"{0}% increased Molten Strike Area of Effect","【熔岩之击】范围扩大 {0}%"
"{0}% reduced Molten Strike Area of Effect","【熔岩之击】范围缩小 {0}%"
"{0}% increased Ice Shot Area of Effect","【冰霜射击】范围扩大 {0}%"
"{0}% reduced Ice Shot Area of Effect","【冰霜射击】范围缩小 {0}%"
"{0}% increased Rain of Arrows Area of Effect","【箭雨】范围扩大 {0}%"
"{0}% reduced Rain of Arrows Area of Effect","【箭雨】范围缩小 {0}%"
"{0}% increased Leap Slam Area of Effect","【跃击】范围扩大 {0}%"
"{0}% reduced Leap Slam Area of Effect","【跃击】范围缩小 {0}%"
"{0}% increased Lightning Arrow Area of Effect","【闪电箭矢】范围扩大 {0}%"
"{0}% reduced Lightning Arrow Area of Effect","【闪电箭矢】范围缩小 {0}%"
"{0}% increased Ice Nova Area of Effect","【冰霜新星】范围扩大 {0}%"
"{0}% reduced Ice Nova Area of Effect","【冰霜新星】范围缩小 {0}%"
"{0}% increased Static Strike Area of Effect","【充能打击】范围扩大 {0}%"
"{0}% reduced Static Strike Area of Effect","【充能打击】范围缩小 {0}%"
"{0}% increased Storm Call Area of Effect","【风暴呼唤】范围扩大 {0}%"
"{0}% reduced Storm Call Area of Effect","【风暴呼唤】范围缩小 {0}%"
"{0}% increased Sweep Area of Effect","【横扫】范围扩大 {0}%"
"{0}% reduced Sweep Area of Effect","【横扫】范围缩小 {0}%"
"{0}% increased Righteous Fire Area of Effect","【正义之火】范围扩大 {0}%"
"{0}% reduced Righteous Fire Area of Effect","【正义之火】范围缩小 {0}%"
"{0}% increased Arctic Breath Area of Effect","【极地吐息】范围扩大 {0}%"
"{0}% reduced Arctic Breath Area of Effect","【极地吐息】范围缩小 {0}%"
"{0}% increased Ball Lightning Area of Effect","【天雷之珠】范围扩大 {0}%"
