"k","v"
"{0}% of Fire Damage from Hits taken as Physical Damage","擊中的 {0}% 承受火焰傷害視為物理傷害"
"{0}% of Physical Damage from Hits taken as Fire Damage","擊中的 {0}% 承受物理傷害視為火焰傷害"
"{0}% of Physical Damage from Hits taken as Cold Damage","承受 {0}% 的擊中物理傷害視為冰冷傷害"
"{0}% of Physical Damage from Hits taken as Lightning Damage","承受 {0}% 的物理傷害視為閃電傷害"
"You take Chaos Damage instead of Physical Damage from Bleeding","流血對你造成混沌傷害而不是物理傷害"
"{0}% of Physical Damage from Hits taken as Chaos Damage","承受 {0}% 的物理傷害視為混沌傷害"
"{0}% of Elemental Damage from Hits taken as Chaos Damage","承受 {0}% 的元素傷害視為混沌傷害"
"{0}% of Fire Damage taken causes extra Physical Damage","獲得等同 {0}% 承受之火焰傷害的額外物理傷害"
"{0}% of Damage taken gained as Mana over {1} seconds when Hit","被擊中時， {1} 秒內回復等同于 {0}% 傷害的魔力"
"{0}% more Damage","{0}% 更多傷害"
"{0}% less Damage","{0}% 更少傷害"
"{0}% of Melee Physical Damage taken reflected to Attacker","承受的近戰物理 {0}% 傷害反射給攻擊者"
"{0}% Chance to Block Attack Damage for {1} seconds every {2} seconds","每 {2} 秒 {0}% 攻擊傷害格擋率，持續 {1} 秒"
"{0}% Chance to Block Attack Damage while wielding a Bow","持弓時 {0}% 攻擊傷害格擋率"
"Enemies Frozen by you take {0}% increased Damage","被你冰凍的敵人額外承受 {0}% 傷害"
"Enemies take {0}% increased Damage for each type of Ailment you have inflicted on them","對敵人造成的異常狀況，每種可以增加 {0}% 承受傷害"
"Enemies take {0}% reduced Damage for each type of Ailment you have inflicted on them","對敵人造成的異常狀況，每種可以減少 {0}% 承受傷害"
"{0}% increased Armour against Projectiles","對投射物的攻擊增加 {0}% 護甲"
"{0}% reduced Armour against Projectiles","對投射物的攻擊減少 {0}% 護甲"
"{0}% Chance to Block Projectile Attack Damage","{0}% 投射物攻擊傷害格擋率"
"Cannot Leech","無法偷取"
"Your Attacks deal {0} Physical Damage","你的攻擊造成 {0} 物理傷害"
"Recover {0}% of Energy Shield when you Block","當格擋時回復 {0}% 能量護盾"
"Replenishes Energy Shield by {0}% of Armour when you Block","格擋時回復 {0}% 護甲的能量護盾"
"Poisonous Hit","攻擊擊中時使敵人中毒"
"{0}% increased Spell Damage taken when on Low Mana","貧魔時增加 {0}% 承受的法術傷害"
"{0}% reduced Spell Damage taken when on Low Mana","貧魔時減少 {0}% 承受的法術傷害"
"{0}% increased Global Critical Strike Chance while wielding a Staff","持長杖時增加 {0}% 全域暴擊率"
"{0}% reduced Global Critical Strike Chance while wielding a Staff","持長杖時減少 {0}% 全域暴擊率"
"{0}% to Global Critical Strike Multiplier while wielding a Staff","持長杖時 {0}% 全域暴擊加成"
"{0}% increased Global Critical Strike Chance while wielding a Bow","持弓時增加 {0}% 全域暴擊率"
"{0}% reduced Global Critical Strike Chance while wielding a Bow","持弓時減少 {0}% 全域暴擊率"
"{0}% to Global Critical Strike Multiplier while wielding a Bow","持弓時 {0}% 全域暴擊加成"
"Curse Reflection","詛咒反射"
"Unaffected by Curses","不被詛咒影響"
"Attacks deal no Physical Damage","攻擊不造成物理傷害"
"Causes Bleeding on Hit","擊中時造成流血效果"
"{0}% chance to cause Bleeding on Hit","擊中時 {0}% 機率造成流血"
"Causes Bleeding when you Stun","擊暈時造成流血"
"{0}% chance to inflict Bleeding on Critical Strike with Attacks","攻擊暴擊時有 {0}% 機率造成流血"
"Melee Critical Strikes have {0}% chance to cause Bleeding","近戰暴擊有 {0}% 機率造成流血效果"
"Melee Critical Strikes cause Bleeding","近戰暴擊造成流血效果"
"Melee Attacks have {0}% chance to cause Bleeding","近戰攻擊有 {0}% 機率造成流血效果"
"Melee Attacks cause Bleeding","近戰攻擊造成流血效果"
"Bow Attacks have {0}% chance to cause Bleeding","弓類攻擊有 {0}% 的幾率造成流血"
"Bow Attacks cause Bleeding","弓類武器攻擊有 {0}% 機率造成流血"
"Attacks have {0}% chance to cause Bleeding","攻擊有 {0}% 機率造成流血"
"Attacks cause Bleeding","攻擊造成流血"
"Attacks cannot cause Bleeding","攻擊無法造成流血"
"{0}% increased Attack Damage against Bleeding Enemies","增加對流血中敵人 {0}% 攻擊傷害"
"{0}% reduced Attack Damage against Bleeding Enemies","減少對流血中敵人 {0}% 攻擊傷害"
"{0}% increased Melee Damage against Bleeding Enemies","對流血的敵人增加 {0}% 近戰傷害"
"{0}% reduced Melee Damage against Bleeding Enemies","對流血的敵人減少 {0}% 近戰傷害"
"Enemies you inflict Bleeding on grant {0}% increased Flask Charges","對你造成流血的敵人增加 {0}% 藥劑充能"
"Enemies you inflict Bleeding on grant {0}% reduced Flask Charges","對你造成流血的敵人減少 {0}% 藥劑充能"
"Adds {0} to {1} Physical Damage against Bleeding Enemies","對流血的敵人附加 {0} 至 {1} 物理傷害"
"Golden Radiance","黃金光輝"
"Supported Attack Skills cannot be used with Melee Weapons","輔助攻擊技能不能使用在近戰武器上"
"{0}% reduced Enemy Stun Threshold with this Weapon","使用此武器時減少 {0}% 敵人暈眩門檻"
"{0}% increased Enemy Stun Threshold with this Weapon","使用此武器時增加 {0}% 敵人暈眩門檻"
"Increases and Reductions to Light Radius also apply to Area of Effect at {0}% of their value","增加和減少照亮範圍以 {0}% 它們的值套用至範圍效果"
"Increases and Reductions to Light Radius also apply to Damage","增加和減少照亮範圍同時套用至傷害"
"{0}% increased Light Radius","增加 {0}% 照亮範圍"
"{0}% reduced Light Radius","減少 {0}% 照亮範圍"
"You have Phasing while at maximum Frenzy Charges","你在最大狂怒球時得到迷蹤狀態"
"You have Phasing during Onslaught","你在獲得猛攻時得到迷蹤狀態"
"You have Phasing if Energy Shield Recharge has started Recently","近期內若能量護盾開始回復，獲得迷蹤狀態"
"{0}% chance to Dodge Attack Hits while Phasing","迷蹤狀態時有 {0}% 機率躲避攻擊擊中"
"{0}% increased Rarity of Items found while Phasing","迷蹤狀態時增加 {0}% 物品稀有度"
"{0}% increased Mana Regeneration Rate while Phasing","迷蹤狀態時增加 {0}% 魔力回復速度"
"{0}% reduced Mana Regeneration Rate while Phasing","迷蹤狀態時減少 {0}% 魔力回復速度"
"{0}% increased Light Radius while Phasing","迷蹤狀態時增加 {0}% 照亮範圍"
"{0}% reduced Light Radius while Phasing","迷蹤狀態時減少 {0}% 照亮範圍"
"Chaos Damage does not bypass Energy Shield","混沌傷害不能穿透能量護盾"
"Spreads Tar when you take a Critical Strike","當你受到暴擊時噴灑焦油"
"{0}% chance to Curse Enemies with a random Curse on Hit","擊中時有 {0}% 幾率對敵人施放 1 個隨機詛咒"
"{0}% chance to Curse Enemies with Enfeeble on Hit","擊中敵人時 {0}% 機率使敵人被衰弱"
"Curse Enemies with Temporal Chains on Hit","擊中敵人時使敵人被施放時空鎖鏈"
"{0}% chance to Curse Enemies with Temporal Chains on Hit","擊中敵人時 {0}% 機率使敵人施放時空鎖鏈"
"Curse Enemies with Level {0} Temporal Chains on Hit","擊中敵人時，用 {0} 級的【時空鎖鏈】詛咒敵人"
"Curse Enemies with Level {0} Vulnerability on Hit","擊中敵人時，用 {0} 級的【脆弱】詛咒敵人"
"{0}% chance to Curse Enemies with Level {1} Vulnerability on Hit","擊中時有 {0}% 幾率用 {1} 級的【脆弱】詛咒敵人"
"Curse Enemies with Level {0} Elemental Weakness on Hit","擊中敵人時，用 {0} 級的【元素要害】詛咒敵人"
"Curse Enemies with Level {0} Assassin's Mark on Hit","擊中敵人時，用 {0} 級的【暗影印記】詛咒敵人"
"Curse Enemies with Level {0} Frostbite on Hit","擊中敵人時，用 {0} 級的【凍傷】詛咒敵人"
"Curse Enemies with Level {0} Conductivity on Hit","擊中敵人時，用 {0} 級的【導電】詛咒敵人"
"Curse Enemies with Level {0} Despair on Hit","擊中敵人時，用 {0} 級的【絕望】詛咒敵人"
"Curse Enemies with Level {0} Enfeeble on Hit","擊中敵人時，用 {0} 級的【衰弱】詛咒敵人"
"Curse Enemies with Level {0} Flammability on Hit","擊中敵人時，用 {0} 級的【易燃】詛咒敵人"
"Curse Enemies with Level {0} Poacher's Mark on Hit","擊中敵人時，用 {0} 級的【盜獵者印記】詛咒敵人"
"Curse Enemies with Level {0} Projectile Weakness on Hit","擊中敵人時，用 {0} 級的【投射物要害】詛咒敵人"
"Curse Enemies with Level {0} Warlord's Mark on Hit","擊中敵人時，用 {0} 級的【督軍印記】詛咒敵人"
"Your Spells have Culling Strike","你的法術擁有撲殺效果"
"Nearby Allies have Culling Strike","附近友方獲得撲殺"
"{0} to Melee Weapon and Unarmed Attack range","{0} 近戰與空手攻擊範圍"
"{0}% increased Global Evasion Rating when on Low Life","貧血時增加 {0}% 全域閃避值"
"{0}% reduced Global Evasion Rating when on Low Life","貧血時減少 {0}% 全域閃避值"
"Life Leech is instant","立即獲得生命偷取"
"Life Leech from Hits with this Weapon is instant","立即獲得此武器擊中的生命偷取"
"Life and Mana Leech from Critical Strikes are instant","立即獲得暴擊的生命和魔力偷取"
"Restless Dead","無限復生"
"Area is a large Maze","地圖是個大迷宮"
"Area contains a Large Chest","地圖有大寶箱"
"{0}% increased Area of Effect per {1} Intelligence","每 {1} 點智力增加 {0}% 範圍效果"
"{0}% reduced Area of Effect per {1} Intelligence","每 {1} 點智力減少 {0}% 範圍效果"
"{0}% increased Attack Speed per {1} Dexterity","每 {1} 點敏捷增加 {0}% 攻擊速度"
"{0}% reduced Attack Speed per {1} Dexterity","每 {1} 敏捷減少 {0}% 攻擊速度"
"{0}% increased Physical Weapon Damage per {1} Strength","每 {1} 力量增加 {0}% 物理武器傷害"
"{0}% reduced Physical Weapon Damage per {1} Strength","每 {1} 力量減少 {0}% 物理武器傷害"
"{0}% chance to Dodge Attack Hits per Frenzy Charge","每顆狂怒球有 {0}% 機率躲避攻擊擊中"
"Gain a Power Charge for each Enemy you hit with a Critical Strike","擊中並造成暴擊時，每個敵人給予你 1 個暴擊球"
"{0}% increased Burning Damage taken","增加 {0}% 承受的燃燒傷害"
"{0}% reduced Burning Damage taken","減少 {0}% 承受的燃燒傷害"
"You cannot increase the Rarity of Items found","你無法增加掉落物品稀有度"
"You cannot increase the Quantity of Items found","你無法增加掉落物品數量"
"Inflicts a random Level {0} Curse on you when your Totems die","當你的圖騰死亡時，玩家受到 1 個 {0} 級的隨機詛咒"
"Items and Gems have {0}% increased Attribute Requirements","裝備和寶石增加 {0}% 能力值需求"
"Items and Gems have {0}% reduced Attribute Requirements","裝備和寶石減少 {0}% 能力值需求"
"Enemy hits on you roll low Damage","敵人擊中你皆為最小傷害"
"Emits a golden glow","發出金色光芒"
"{0}% to Chaos Resistance when on Low Life","貧血時 {0}% 混沌抗性"
"Damage from Enemies Hitting you is Lucky while you are on Low Life","低血時，敵人擊中你的傷害會特別幸運"
"Damage from Enemies Hitting you is Unlucky while you are on Low Life","低血時，敵人擊中你的傷害會特別不幸"
"Deal {0} to {1} Lightning Damage to nearby Enemies when you lose a Power, Frenzy, or Endurance Charge","當你失去 1 顆暴擊、狂怒或耐力球時，對附近敵人造成 {0} 至 {1} 閃電傷害"
"Item drops on death","死亡時掉落"
"Item drops on Death if Equipped by an Animated Guardian","幻化守衛裝備之物品將在幻化守衛死亡時掉落"
"Cannot inflict Ignite","不能造成點燃"
"Cannot inflict Freeze","不能造成冰凍"
"Cannot inflict Freeze or Chill","不能造成冰凍或冰緩"
"Cannot inflict Shock","不能造成感電"
"Ignites you inflict deal Damage {0}% faster","你造成的點燃傷害加速 {0}%"
"Ignited Enemies Burn {0}% slower","被點燃敵人減緩燃燒 {0}%"
"Ignites you inflict with Attacks deal Damage {0}% faster","你攻擊造成的點燃傷害加速 {0}%"
"Cannot Leech Life","不能偷取生命"
"Cannot Leech Mana","不能偷取魔力"
"Cannot Leech or Regenerate Mana","無法偷取或自然回復魔力"
"Cannot Leech when on Low Life","貧血時不能偷取"
"{0} Energy Shield gained on Kill","{0} 擊殺回復能量護盾"
"{0} Energy Shield gained on Killing a Shocked Enemy","擊殺每個感電的敵人回復 {0} 點能量護盾"
"{0}% chance to create Consecrated Ground when you Block","格擋時 {0}% 機率產生奉獻地面"
"{0}% chance to create Desecrated Ground when you Block","格擋時 {0}% 機率產生汙染地面"
"{0}% chance to Avoid Blind","{0}% 機率避免被致盲"
"Cannot be Blinded","不會被致盲"
"{0}% chance to create a Smoke Cloud when Hit","被擊中時 {0}% 機率製造一團煙霧"
"Create a Smoke Cloud when Hit","被擊中時製造一團煙霧"
"{0}% chance to create Shocked Ground when Hit","被擊中時 {0}% 機率產生感電地面"
"Create Shocked Ground when Hit","被擊中時產生感電地面"
"{0}% increased Totem Placement speed","增加 {0}% 圖騰放置速度"
"Spells Cast by Totems have {0}% increased Cast Speed","圖騰所使用的法術增加 {0}% 施放速度"
"Attacks used by Totems have {0}% increased Attack Speed","圖騰所使用的攻擊增加 {0}% 攻擊速度"
"{0}% increased Area of Effect for Skills used by Totems","增加 {0}% 圖騰使用的技能範圍"
"{0}% of Damage Leeched as Life for Skills used by Totems","偷取生命等同 {0}% 圖騰使用的技能造成之傷害"
"Can't use Chest armour","不能使用胸甲"
"{0}% increased Claw Physical Damage when on Low Life","貧血時增加 {0}% 爪類武器物理傷害"
"{0}% reduced Claw Physical Damage when on Low Life","貧血時減少 {0}% 爪類武器物理傷害"
"{0}% increased Accuracy Rating when on Low Life","貧血時增加 {0}% 命中值"
"{0}% reduced Accuracy Rating when on Low Life","貧血時減少 {0}% 命中值"
"Reflects {0} Physical Damage to Attackers on Block","格擋時反射 {0} 物理傷害"
"Reflects {0} to {1} Physical Damage to Attackers on Block","格擋時反射 {0} 至 {1} 物理傷害"
"Reflects {0} Lightning Damage to Attackers on Block","格擋時反射 {0} 閃電傷害"
"Reflects {0} to {1} Lightning Damage to Attackers on Block","格擋時反射 {0} 至 {1} 閃電傷害"
"{0}% increased maximum number of Raised Zombies","增加 {0}% 殭屍復甦最大數量"
"{0}% reduced maximum number of Raised Zombies","減少 {0}% 殭屍復甦最大數量"
