"# of Nearby Corpses:","근처 시체 수:"
"% to not Consume:","충전 미-소모 확률:"
"%Inc Armour from Tree","방어도 증가%(패시브)"
"%Inc ES from Tree","에너지 보호막 증가%(패시브)"
"%Inc Evasion from Tree","회피 증가%(패시브)"
"%Inc Life from Tree","생명력 증가%(패시브)"
"%Inc Mana from Tree","마나 증가%(패시브)"
"Enemy physical damage reduction: {0}%","적의 물리 피해 감소: {0}%"
"Enemy resistance: {0}% (Cold)","^7적 저항: {0}% ^8(냉기)"
"Enemy resistance: {0}% (Fire)","^7적 저항: {0}% ^8(화염)"
"Enemy resistance: {0}% (Lightning)","^7적 저항: {0}% ^8(번개)"
"Enemy resistance: {0}%","적 저항: {0}%"
"EnemyConfig","설정-적상태"
"Energy Shield Degen","에너지 보호막 감소"
"Energy Shield Recharge Not Delayed By Damage","피해를 받았을 때 에너지 보호막 재충전이 지연되지 않음"
"Energy Shield Recharge","에너지 보호막 재충전"
"Energy Shield Regen Percent","에너지 보호막 재생률"
"Energy Shield Regen","에너지 보호막 재생"
"Evade Chance","회피 확률"
"Evasion rating","회피율"
"Evasion to Armour","방어도를 회피로"
"Evasion:","회피:"
"Exclusive to","한정"
"Exerted Attacks:","전력 공격:"
"Exerting Warcries:","함성의 전력 공격:"
"Exposure Effect:","노출 효과:"
"Extra Trauma","외상 획득"
"Final Chaos Damage taken:","최종 카오스 받는 피해:"
"Final Cold Damage taken:","최종 냉기 받는 피해:"
"Final Fire Damage taken:","최종 화염 받는 피해:"
"Final Lightning Damage taken:","최종 번개 받는 피해:"
"Final Physical Damage taken:","최종 물리 받는 피해:"
"Final","최종"
"Fire AoE","화염 범위"
"Fire Attack","화염 공격"
"Fire Damage Taken When Hit","피격 시 받는 화염 피해"
"Fire Damage Taken","받는 화염 피해"
"Fire Damage taken","받는 화염 피해"
"Fire Degen","화염 피해 받음"
"Fire Dmg. Reduct:","^xB97123화염^7 피해 감소:"
"Fire Energy Shield Bypass","화염 피해가 에너지 보호막을 무시함"
"Fire Exposure","화염 노출"
"Fire Hit/DoT:","화염 명중/지속:"
"Fire Max","화염 최대"
"Fire Melding of the Flesh","화염 살점의 융합"
"Fire Min","화염 최소"
"Fire Res. Over Max","화염 저항(최대)"
"Fire Resist Max","최대 화염 저항"
"Fire Resist","화염 저항"
"Fire Resist:","^xB97123화염 저항^7:"
"Fire To Cold Max Resistance Conversion","화염에서 최대 냉기 저항으로 변환"
"Fire To Cold Resistance Conversion","화염에서 냉기 저항으로 변환"
"Fire To Lightning Max Resistance Conversion","화염에서 최대 번개 저항으로 변환"
"Fire To Lightning Resistance Conversion","화염에서 번개 저항으로 변환"
"Fire","화염"
"Fire:","^xB97123화염:^7"
"FireDot","화염 지속피해"
"Fist of War:","전쟁의 주먹:"
"Flame Wall:","화염 벽:"
"Flask Charges Generated Per Empty Flask","빈 플라스크 슬롯당 플라스크 충전"
"Flask Charges Generated","플라스크 재충전"
"Flasks:","플라스크:"
"Flesh","핏빛 태세"
"For bleed to apply for the minimum of {0} seconds, target must have no more than {1} Ailment Threshold.","^8최소^7 {0}^8초 동안 출혈시키려면 대상의 상태이상 임계값이^7 {1} ^8이어야 합니다."
"For freeze to apply for the minimum of {0} seconds, target must have no more than {1} Ailment Threshold.","^8최소^7 {0}^8초 동안 동결시키려면 대상의 상태이상 임계값이^7 {1} ^8이어야 합니다."
"For freeze to apply, target must have no more than {0} life.","동결을 적용하려면 대상의 생명력이 {0}이하여야 합니다."
"For ignite to apply for the minimum of {0} seconds, target must have no more than {1} Ailment Threshold.","^8최소^7 {0}^8초 동안 점화시키려면 대상의 상태이상 임계값이^7 {1} ^8이어야 합니다."
"For poison to apply for the minimum of {0} seconds, target must have no more than {1} Ailment Threshold.","^8최소^7 {0}^8초 동안 중독시키려면 대상의 상태이상 임계값이^7 {1} ^8이어야 합니다."
"For shock to apply for the minimum of {0} seconds, target must have no more than {1} Ailment Threshold.","^8최소^7 {0}^8초 동안 감전시키려면 대상의 상태이상 임계값이^7 {1} ^8이어야 합니다."
"For shock to apply, target must have no more than {0} life.","감전을 적용하려면 대상의 생명력이 {0}이하여야 합니다."
"Fork Count:","갈래 수:"
"Fortification","방어 상승"
"Freeze Avoid Ch.:","동결 긴급회피 확률:"
"Freeze Dur. Mod:","동결 지속 배율:"
"Freeze Duration:","동결 지속 시간:"
"Freeze Effect","동결 효과"
"Freeze Effect:","동결 효과:"
"Freeze Immune","동결 면역"
"Freeze","동결"
"From","기존"
"Frost Globe Damage Mitigation","서리 구체 피해 완화"
"Gain +10 to maximum Fortification for 0.05 seconds per Stage on Placing the Banner","깃발 배치 중 단계 하나당 0.05초 동안 최대 방어 상승 +10 획득"
"Gem Index","젬 인덱스"
"Generic Flask Charges/s:","일반 플라스트 충전/초:"
"Generic Flask Effect:","일반 플라스트 효과:"
"Generic Flask Recovery Rate:","일반 플라스트 회복 속도:"
"Global Base:","전체(기본):"
"Global","전역"
"Guaranteed Shocks:","보장된 감전:"
"Guard:","수호:"
"HELMET","투구"
"Hit Chance","명중률"
"Hit Damage taken as:","받는 피해는 다음과 같습니다:"
"Hit Rate","적중율"
"Hit damage:","명중 피해:"
"Hit taken:","적중 피해:"
"If Armour On Body Armour >= 1","갑옷에 방어도 보유 >= 1"
"If Armour On Boots >= 1","장화에 방어도 보유 >= 1"
"If Armour On Gloves >= 1","장갑에 방어도 보유 >= 1"
"If Armour On Helmet >= 1","투구에 방어도 보유 >= 1"
"If Cold Resist Total <= Fire Resist Total","만약 총 냉기 저항 <= 총 화염 저항"
"If Cold Resist Total <= Lightning Resist Total","만약 총 냉기 저항 <= 총 번개 저항"
"If Cold Resist Total >= Fire Resist Total","만약 총 냉기 저항 >= 총 화염 저항"
"If Cold Resist Total >= Lightning Resist Total","만약 총 냉기 저항 >= 총 번개 저항"
"If Fire Resist Total <= Cold Resist Total","만약 총 화염 저항 <= 총 냉기 저항"
"If Fire Resist Total <= Lightning Resist Total","만약 총 화염 저항 <= 총 번개 저항"
"If Life Reserved >= 1","생명력이 점유됨 >= 1"
"If Mana Reserved >= 1","마나가 점유됨 >= 1"
"If Sigil Of Power Stage >= 1","만약 힘의 부적 단계 >= 1"
"If Corrupted Item <= 0","만약 타락한 아이템 <= 0"
"{0} per Level","레벨당 {0}"
"+100 per Green Socket In Weapon 1","주무기의 초록 홈 하나당 +100"
"Skill type: Ranged Attack","스킬 유형: 원거리 공격"
"Split Count:","분할 개수:"

"{0}% per Freeze Shock Ignite On Enemy","적에게 유발된 동결,감전,점화 당 {0}%"
"The trigger needs to be triggered for any skill to be triggered.","모든 스킬이 발동되려면 트리거가 발동되어야 합니다."
"If attacking constantly, your average strongest Ignite currently achieves {0}% of its max damage","지속적으로 공격할 경우 가장 강한 점화는 현재 최대 피해의 ^7{0}%^x5CF0BB를 달성합니다."
"If attacking constantly, your average strongest bleed currently achieves {0}% of its max damage","지속적으로 공격할 경우 평균적으로 가장 강한 출혈은 현재 최대 피해의 ^7{0}% ^x5CF0BB도달합니다."
"Ignite Avoid Ch.:","점화 긴급회피 확률:"
"Ignite Chance","자신 점화 확률"
"Ignite Dps As burning Ground","용암 지대에 동일 점화DPS"
"Ignite Duration:","점화 지속 시간:"
"Ignite Effect","점화 효과"
"Ignite Effect:","점화 효과:"
"Ignite Immune","점화 면역"
"Ignite mode: {0} (can be changed in the Configuration tab)","^7점화 방식:^7 {0} ^8(설정탭에서 조정가능)"
"Ignite mode: {0} (can be changed in the Configuration tab)","점화 방식: {0} (설정탭에서 조정가능)"
"Ignite","점화"
"Ignite:","점화:"
"Impale Stacks Max","꿰뚫기 중첩 최대"
"Impale:","꿰뚫기:"
"Impaled an enemy recently?","최근에 적을 꿰뚫었습니까?"
"Inc. Cast Speed:","시전 속도 증가:"
"Inc. Charges Gain:","충전 획득 증가:"
"Inc. Charges Used:","충전 소모량 증가:"
"Inc. Crit Chance:","치명타 확률 증가:"
"Inc. Duration:","지속시간 증가:"
"Inc. Effect:","효과 증가:"
"Inc. Item Quantity:","아이템퀄리티증가:"
"Inc. Item Rarity:","아이템희귀도증가:"
"Inc. Magic Effect:","마법 효과 증가:"
"Inc. Recovery Rate:","회복 속도 증가:"
"Inc. Recovery:","회복량 증가:"
"Inc. from Tree:","증가(패시브):"
"Inc/red","증가/감소"
"Incoming","들어오는 피해"
"Increased Regen:","재생 증가:"
"Infusion Effect","주입 효과"
"Int","지능"
"Int. Required:","필요 지능:"
"Intelligence Required","필요 ^x7070FF지능^7"
"Interupt Avoid Ch.:","방해 긴급회피 확률:"
"Interupt","방해"
"Intimidating Cry:","위협의 함성:"
"Is the enemy on Brittle Ground?","^7적이 ^xADAA47허약의 지대^7에 있습니까?"
"Item Condition","아이템 접사 유무"
"Item","아이템"
"Killed a Rare or Unique enemy Recently?","최근에 희귀/고유 적을 죽였습니까?"
"Knockback Chance:","밀어내기 확률:"
"Knockback Dist.:","밀어내기 거리:"
"Leech & Gain on Hit:","적중당 흡수 & 획득:"
"Leech rate cap: {0}","최대 흡수 한도: {0}"
"Life Cost","생명력 소모"
"Life Flask Recovery Rate:","생명력 플라스크 회복 속도:"
"Life Flasks:","생명력 플라스크:"
"Life Gain Rate:","생명력 회득율:"
"Life Gain on Kill:","처치시 생명력 획득:"
"Life Gain per Hit:","적중당 생명력 획득:"
"Life Leech Cap:","생명력 흡수용량:"
"Life Leech Rate:","생명력 흡수속도:"
"Life Leech per Hit:","적중당 생명력 흡수:"
"Life Leech/Gain per Hit","적중당 생명력 흡수/획득 비율"
"Life Leech/On Hit Rate","적중당 생명력 흡수 비율"
"Life Loss Below Half Lost","절반 이하의 생명력 4초에 걸쳐 손실"
"Life Loss Below Half Prevented","절반 이하의 생명력 손실 예방"
"Life Regen Percent","생명력 재생률"
"Life Reservation Efficiency","스킬의 생명력 점유 효율"
"Life Reserve Mod:","생명력 점유 보정:"
"Life recovered: {0} instantly","생명력 회복: 즉시 ^7{0}"
"Life to Energy Shield","생명력에서 에너지 보호막으로"
"Life to Energy Shield","생명력을 에너지보호막으로"
"Life:","생명력:"
"Light Radius Mod:","시야 범위 보정:"
"Light. Dmg. Reduct:","^xADAA47번개^7 피해 감소:"
"Lightning AoE","번개 범위"
"Lightning Attack","번개 공격"
"Lightning Damage Gain As Cold","번개 피해를 추가 냉기 피해로 획득"
"Lightning Damage Life Leech","번개 피해를 생명력으로 흡수"
"Lightning Damage Taken As Fire","번개 피해를 화염 피해로 받음"
"Lightning Damage Taken When Hit","피격 시 받는 번개 피해"
"Lightning Damage Taken","받는 번개 피해"
"Lightning Damage taken","받는 번개 피해"
"Lightning Energy Shield Bypass","번개 피해가 에너지 보호막을 무시함"
"Lightning Exposure","번개 노출"
"Lightning Hit/DoT:","번개 명중/지속:"
"Lightning Max","번개 최대"
"Lightning Melding of the Flesh","냉기 살점의 융합"
"Lightning Min","번개 최소"
"Lightning Res. Over Max","번개 저항(최대)"
"Lightning Resist Max","최대 번개 저항"
"Lightning Resist","번개 저항"
"Lightning Resist:","^xADAA47번개 저항^7:"
"Lightning","번개"
"Lightning:","^xADAA47번개:^7"
"MCM","마나소모배율"
"MH Accuracy:","정확도(MH):"
"MH Att. per second:","초당공격속도(MH):"
"MH Average Hit:","주무기 평균적중:"
"MH Chance to Hit:","적중률(MH):"
"MH Crit Chance:","치명타 확률(MH):"
"MH Crit Effect Mod:","치명타 보정(MH):"
"MH Crit Multiplier:","치명타 배율(MH):"
"MH DMG Mod.:","주무기 피해 보정:"
"MH Eff. DPS Mod:","DPS 보정(MH):"
"MH Hit Damage:","공격 피해(MH):"
"MH Impale Chance:","꿰뚫기 확률(MH):"
"MH Inc. Att. Speed:","공격속도증가(MH):"
"MH Inc. Crit Chance:","치명타 확률 증가(MH):"
"MH K.B. Chance:","밀어내기 확률(MH):"
"MH K.B. Dist.:","밀어내기 거리(MH):"
"MH More Att. Speed:","공격속도증폭(MH):"
"MH Source Chaos:","카오스출처(MH):"
"MH Source Cold:","냉기출처(MH):"
"MH Source Fire:","화염출처(MH):"
"MH Source Lightning:","번개출처(MH):"
"MH Source Physical:","물리출처(MH):"
"MH Stored Damage:","주무기 저장 피해:"
"MH Stun Duration:","기절지속시간(MH):"
"MH Stun Threshold:","기절 한계치(MH):"
"MH Total Increased:","주 무기 총 증가:"
"MH Total More:","주 무기 총 추가:"
"Magic Utility Flask Effect:","마법 특수 플라스크의 효과:"
"Main Hand:","주 무기:"
"Main hand modifiers:","주 무기 보정:"
"Mana Cost","마나 소모량"
"Mana Degen Percent","마나 희생 백분율"
"Mana Flasks:","마나 플라스크:"
"Mana Gain Rate:","마나 회득율:"
"Mana Gain on Kill:","처치 시 마나 획득:"
"Mana Gain per Hit:","적중당 마나 획득:"
"Mana Leech Cap:","마나 흡수 용량:"
"Mana Leech Rate:","마나 흡수 속도:"
"Mana Leech per Hit:","적중당 마나 흡수:"
"Mana Leech/Gain per Hit","마나 흡수/획득 비율"
"Mana Leech/On Hit Rate","마나 흡수 비율"
"Mana Regen Percent","마나 재생률"
"Mana Regen to Rage Regen","마나 재생에서 분노 재생으로"
"Mana Regen","마나 재생"
"Mana Regeneration:","마나 재생:"
"Mana Reservation Efficiency","마나 점유 효율"
"Mana Reserve Mod:","마나 점유 보정:"
"Mana per second:","초당 마나 소모:"
"Mana through MoM: {0}","물질 보다 정신을 통해 마나를 생명력으로 소비: {0}"
"Mana to Energy Shield","마나를 에너지 보호막으로"
"Mana:","마나:"
"Max Bleed Stacks:","최대 출혈 중첩:"
"Max Chain Count:","최대 연쇄 수:"
"Max Ignite Stacks:","최대 점화 중첩:"
"Max Impale Stacks:","최대 꿰뚫기 중첩:"
"Max Poison Stacks:","최대 독 중첩:"
"Max: {0}%","최대: {0}%"
"Maximum Brittle:","최대 허약:"
"Maximum Hit Taken:","최대 적중율:"
"Maximum Rage:","격노 최대치:"
"Maximum Sap:","최대 활력감소:"
"Maximum Scorch:","최대 그을림:"
"Maximum hit damage breakdown:","완화된 최대 적중 피해:"
"Maximum hit taken (uses lowest value):","받는 최대 적중 (최저값 사용):"
"Maximum hit you can take: {0}","받아낼 수 있는 최대 적중: {0}"
"Maximum leech rate against one target:","최대 흡수 비율:"
"Maximum of:","최대:"
"Melee Avoid Ch.:","근접 긴급회피 확률:"
"Melee Ch.:","근접 확률:"
"Melee Evade Ch.:","근접 회피 확률:"
"Melee Evade Chance","근접 회피 확률"
"Melee Proximity","적이 가까울수록 피해 증폭"
"Min","최소"
"Mind over Matter %:","물질보다 정신 %:"
"Mind over Matter:","물질보다 정신:"
"Mine Aura Radius:","지뢰 오라 범위:"
"Mine Deton. Radius:","지뢰 폭발 범위:"
"Mine Laying Time:","지뢰 폭발 시간:"
"Mine Throw Rate:","지뢰 투척률:"
"Mine Throw Time:","지뢰 투척 시간:"
"Mine Throwing Time","지뢰 투척 속도"
"Minion Skill:","소환수 스킬:"
"Mitigation","완화"
"More Cast Speed:","추가 시전 속도:"
"More Recovery:","회복량 증폭:"
"More/less","증폭/감폭"
"Movement Speed Modifier","이동 속도 보정"
"Movement Speed:","이동 속도:"
"Mult","배율"
"Multi","배율"
"Multiplier","배율"
"Multiplier: Arcane Cloak Consumed Mana","배율: 비전의 망토가 소모한 마나"
"Multiplier: Ensnared Stack","배율: 올가미 중첩"
"Multiplier: Frost Shield Max Stages","배율: 서리 방패 최대 단계"
"Multiplier: Sigil Of Power Max Stages","배율: 힘의 부적 최대 단계"
"NOTE: Calculation uses a Weighted Avg formula","참고: 계산은 가중치 평균 수식을 사용합니다."
"NOTE: Calculation uses new Weighted Avg Ailment formula","참고: 계산에는 새로운 가중 평균 상태 이상 공식이 사용됩니다."
"NOTE: Having any energy shield when the hit occurs grants 50% chance to avoid stun.","참고: 적중 시 에너지 보호막이 있으면 50%의 확률로 기절을 피할 수 있습니다."
"Name","이름"
"Net Life Recovery:","순 생명력 재생:"
"Net Life Regen: {0}","순 생명력 재생: {0}"
"Net Mana Recovery:","순 마나 재생:"
"Next breakpoint: {0}% increased AoE / a {1}% more AoE multiplier","다음 중단점: 광역 ^7{0}%^8 증가 / 광역 배율 ^7{1}%^8 증폭"
"Non Chaos Damage Gain As Chaos","비-카오스 피해를 추가 카오스 피해로 획득"
"Non-Crit Dmg Derivation:","비-치명타 피해에서 파생:"
"Non-Damaging Ailments:","피해를 주지 않는 상태이상:"
"Non-bypassed Energy Shield: {0}","비-통과 에너지 보호막: {0}"
"Notes","노트"
"Number of Exerts","다음 전력 공격"
