Absolution,면죄
"Anomalous Purity of Ice","기묘한 얼음의 순수함"
"Anomalous Purity of Lightning","기묘한 번개의 순수함"
"Anomalous Pyroclast Mine","기묘한 화산탄 지뢰"
"Anomalous Quickstep","기묘한 빠른 걸음"
"Anomalous Rage","기묘한 격노 보조"
"Anomalous Rage Vortex","기묘한 격노 소용돌이"
"Anomalous Rain of Arrows","기묘한 화살비"
"Anomalous Raise Spectre","기묘한 망령 소환"
"Anomalous Raise Zombie","기묘한 좀비 소환"
"Anomalous Rallying Cry","기묘한 집결의 함성"
"Anomalous Reap","기묘한 낫질"
"Anomalous Reave","기묘한 약탈"
"Anomalous Reckoning","기묘한 역습"
"Anomalous Rejuvenation Totem","기묘한 회복 토템"
"Anomalous Righteous Fire","기묘한 정의의 화염"
"Anomalous Riposte","기묘한 반격"
"Anomalous Rolling Magma","기묘한 몰려오는 마그마"
"Anomalous Ruthless","기묘한 무자비 보조"
"Anomalous Scorching Ray","기묘한 작열 광선"
"Anomalous Scourge Arrow","기묘한 재앙의 화살"
"Anomalous Searing Bond","기묘한 불타는 굴레"
"Anomalous Second Wind","기묘한 새로운 활력 보조"
"Anomalous Seismic Cry","기묘한 지진 함성"
"Anomalous Seismic Trap","기묘한 지진 덫"
"Anomalous Shattering Steel","기묘한 강철 파편"
"Anomalous Shield Charge","기묘한 방패 돌진"
"Anomalous Shield Crush","기묘한 방패 타쇄"
"Anomalous Shock Nova","기묘한 충격 폭발"
"Anomalous Shockwave","기묘한 충격파 보조"
"Anomalous Shockwave Totem","기묘한 충격파 토템"
"Anomalous Shrapnel Ballista","기묘한 파편 쇠뇌"
"Anomalous Siege Ballista","기묘한 공성 쇠뇌"
"Anomalous Sigil of Power","기묘한 힘의 부적"
"Anomalous Siphoning Trap","기묘한 착취 덫"
"Anomalous Slower Projectiles","기묘한 투사체 속도 감소 보조"
"Anomalous Smite","기묘한 징벌"
"Anomalous Smoke Mine","기묘한 연막 지뢰"
"Anomalous Snipe","기묘한 저격"
"Anomalous Sniper's Mark","기묘한 저격수의 징표"
"Anomalous Soul Link","기묘한 영혼의 연결"
"Anomalous Soulrend","기묘한 영혼 분리"
"Anomalous Spark","기묘한 전기불꽃"
"Anomalous Spectral Helix","기묘한 영체 나선"
"Anomalous Spectral Shield Throw","기묘한 환영 방패 투척"
"Anomalous Spectral Throw","기묘한 환영 무기 투척"
"Anomalous Spell Cascade","기묘한 연속 주문 보조"
"Anomalous Spell Echo","기묘한 주문 메아리 보조"
"Anomalous Spell Totem","기묘한 주문 토템 보조"
"Anomalous Spellslinger","기묘한 주문투척"
"Anomalous Spirit Offering","기묘한 영혼 공물"
"Anomalous Split Arrow","기묘한 분할 화살"
"Anomalous Splitting Steel","기묘한 강철 분할"
"Anomalous Static Strike","기묘한 정전기 타격"
"Anomalous Steelskin","기묘한 강철피부"
"Anomalous Storm Brand","기묘한 폭풍의 낙인"
"Anomalous Storm Burst","기묘한 폭풍 점사"
"Anomalous Storm Call","기묘한 폭풍 부름"
"Anomalous Storm Rain","기묘한 폭풍우"
"Anomalous Stormbind","기묘한 폭풍 연대"
"Anomalous Stormblast Mine","기묘한 태풍 파열 지뢰"
"Anomalous Stun","기묘한 기절 보조"
"Anomalous Summon Carrion Golem","기묘한 부패 골렘 소환"
"Anomalous Summon Chaos Golem","기묘한 카오스 골렘 소환"
"Anomalous Summon Flame Golem","기묘한 화염 골렘 소환"
"Anomalous Summon Holy Relic","기묘한 신성한 유물 소환"
"Anomalous Summon Ice Golem","기묘한 얼음 골렘 소환"
"Anomalous Summon Lightning Golem","기묘한 번개 골렘 소환"
"Anomalous Summon Phantasm","기묘한 환영 소환 보조"
"Anomalous Summon Raging Spirit","기묘한 격노의 유령 소환"
"Anomalous Summon Reaper","기묘한 수확자 소환"
"Anomalous Summon Skeletons","기묘한 해골 소환"
"Anomalous Summon Skitterbots","기묘한 원격 기폭 장치 소환"
"Anomalous Summon Stone Golem","기묘한 돌 골렘 소환"
"Anomalous Sunder","기묘한 산산조각"
"Anomalous Sweep","기묘한 휩쓸기"
"Anomalous Swift Affliction","기묘한 고통 격화 보조"
"Anomalous Swift Assembly","기묘한 재빠른 조립 보조"
"Anomalous Swiftbrand","기묘한 재빠른 낙인 보조"
"Anomalous Tectonic Slam","기묘한 지층 강타"
"Anomalous Tempest Shield","기묘한 폭풍의 방패"
"Anomalous Temporal Chains","기묘한 시간의 사슬"
"Anomalous Temporal Rift","기묘한 시간의 균열"
"Anomalous Tornado","기묘한 회오리"
"Anomalous Tornado Shot","기묘한 회오리 사격"
"Anomalous Toxic Rain","기묘한 맹독성 비"
"Anomalous Trap","기묘한 덫 보조"
"Anomalous Trap and Mine Damage","기묘한 덫 및 지뢰 피해 보조"
"Anomalous Trinity","기묘한 삼위일체 보조"
"Anomalous Unbound Ailments","기묘한 벌어지는 상처 보조"
"Anomalous Unearth","기묘한 발굴"
"Anomalous Unleash","기묘한 촉발 보조"
"Anomalous Urgent Orders","기묘한 긴급 명령 보조"
"Anomalous Vaal Absolution","기묘한 바알 면죄"
"Anomalous Vaal Ancestral Warchief","기묘한 바알 선대의 대전사"
"Anomalous Vaal Animate Weapon","기묘한 바알 무기 기동"
"Anomalous Vaal Arc","기묘한 바알 연쇄 번개"
"Anomalous Vaal Arctic Armour","기묘한 바알 한기의 방어구"
"Anomalous Vaal Blade Flurry","기묘한 바알 질풍의 칼날"
"Anomalous Vaal Blade Vortex","기묘한 바알 칼날 소용돌이"
"Anomalous Vaal Blight","기묘한 바알 황폐"
"Anomalous Vaal Breach","기묘한 바알 균열"
"Anomalous Vaal Burning Arrow","기묘한 바알 불타는 화살"
"Anomalous Vaal Caustic Arrow","기묘한 바알 부식성 화살"
"Anomalous Vaal Clarity","기묘한 바알 명상"
"Anomalous Vaal Cleave","기묘한 바알 회전베기"
"Anomalous Vaal Cold Snap","기묘한 바알 한파"
"Anomalous Vaal Cyclone","기묘한 바알 회오리바람"
"Anomalous Vaal Detonate Dead","기묘한 바알 시체 폭발"
"Anomalous Vaal Discipline","기묘한 바알 단련"
"Anomalous Vaal Domination","기묘한 바알 지배"
"Anomalous Vaal Double Strike","기묘한 바알 이중 타격"
"Anomalous Vaal Earthquake","기묘한 바알 지진"
"Anomalous Vaal Fireball","기묘한 바알 화염구"
"Anomalous Vaal Firestorm","기묘한 바알 화염 폭풍"
"Anomalous Vaal Flameblast","기묘한 바알 화염파"
"Anomalous Vaal Flicker Strike","기묘한 바알 점멸 타격"
"Anomalous Vaal Glacial Hammer","기묘한 바알 빙하 망치"
"Anomalous Vaal Grace","기묘한 바알 은총"
"Anomalous Vaal Ground Slam","기묘한 바알 대지 강타"
"Anomalous Vaal Haste","기묘한 바알 가속"
"Anomalous Vaal Ice Nova","기묘한 바알 얼음 폭발"
"Anomalous Vaal Ice Shot","기묘한 바알 얼음 화살"
"Anomalous Vaal Immortal Call","기묘한 바알 불멸의 외침"
"Anomalous Vaal Impurity of Fire","기묘한 바알 불의 부정함"
"Anomalous Vaal Impurity of Ice","기묘한 바알 얼음의 부정함"
"Anomalous Vaal Impurity of Lightning","기묘한 바알 번개의 부정함"
"Anomalous Vaal Lightning Arrow","기묘한 바알 번개 화살"
"Anomalous Vaal Lightning Strike","기묘한 바알 번개 타격"
"Anomalous Vaal Lightning Trap","기묘한 바알 번개 덫"
"Anomalous Vaal Lightning Warp","기묘한 바알 번개 차원 이동"
"Anomalous Vaal Molten Shell","기묘한 바알 용암 방패"
"Anomalous Vaal Molten Strike","기묘한 바알 용암 타격"
"Anomalous Vaal Power Siphon","기묘한 바알 권능 착취"
"Anomalous Vaal Rain of Arrows","기묘한 바알 화살비"
"Anomalous Vaal Reap","기묘한 바알 낫질"
"Anomalous Vaal Reave","기묘한 바알 약탈"
"Anomalous Vaal Rejuvenation Totem","기묘한 바알 회복 토템"
"Anomalous Vaal Righteous Fire","기묘한 바알 정의의 화염"
"Anomalous Vaal Smite","기묘한 바알 징벌"
"Anomalous Vaal Spark","기묘한 바알 전기불꽃"
"Anomalous Vaal Spectral Throw","기묘한 바알 환영 무기 투척"
"Anomalous Vaal Split Arrow","기묘한 바알 분할 화살"
"Anomalous Vaal Storm Call","기묘한 바알 폭풍 부름"
"Anomalous Vaal Summon Skeletons","기묘한 바알 해골 소환"
"Anomalous Vaal Venom Gyre","기묘한 바알 독액 선회"
"Anomalous Vaal Volcanic Fissure","기묘한 바알 화산 균열"
"Anomalous Vampiric Link","기묘한 흡혈의 연결"
"Anomalous Vengeance","기묘한 복수"
"Anomalous Venom Gyre","기묘한 독액 선회"
"Anomalous Vicious Projectiles","기묘한 포악한 투사체 보조"
"Anomalous Vigilant Strike","기묘한 경계 타격"
"Anomalous Vile Toxins","기묘한 끔찍한 독소 보조"
"Anomalous Viper Strike","기묘한 맹독 타격"
"Anomalous Vitality","기묘한 활력"
"Anomalous Void Manipulation","기묘한 공허 조작 보조"
"Anomalous Void Sphere","기묘한 공허 구체"
"Anomalous Volatile Dead","기묘한 시체 불덩이"
"Anomalous Volcanic Fissure","기묘한 화산 균열"
"Anomalous Volley","기묘한 사격 공세 보조"
"Anomalous Voltaxic Burst","기묘한 전도성 격발"
"Anomalous Vortex","기묘한 소용돌이"
"Anomalous Vulnerability","기묘한 취약성"
"Anomalous War Banner","기묘한 전쟁 깃발"
"Anomalous Warlord's Mark","기묘한 전쟁군주의 징표"
"Anomalous Wave of Conviction","기묘한 신념의 파도"
"Anomalous Whirling Blades","기묘한 칼날 선회"
"Anomalous Wild Strike","기묘한 사나운 타격"
"Anomalous Winter Orb","기묘한 겨울 보주"
"Anomalous Wintertide Brand","기묘한 겨울의 낙인"
"Anomalous Wither","기묘한 위축"
"Anomalous Withering Step","기묘한 고사시키는 걸음"
"Anomalous Withering Touch","기묘한 위축의 손길 보조"
"Anomalous Wrath","기묘한 진노"
"Anomalous Zealotry","기묘한 열광"
"Awakened Absolution","각성한 면죄"
"Awakened Added Chaos Damage","각성한 카오스 피해 추가 보조"
"Awakened Added Cold Damage","각성한 냉기 피해 추가 보조"
"Awakened Added Fire Damage","각성한 화염 피해 추가 보조"
"Awakened Added Lightning Damage","각성한 번개 피해 추가 보조"
"Awakened Additional Accuracy","각성한 정확도 추가 보조"
"Awakened Advanced Traps","각성한 향상된 덫 보조"
"Awakened Alchemist's Mark","각성한 연금술사의 징표"
"Awakened Ambush","각성한 매복"
"Awakened Ancestral Call","각성한 선대의 부름 보조"
"Awakened Ancestral Cry","각성한 선대의 함성"
"Awakened Ancestral Protector","각성한 선대의 수호자"
"Awakened Ancestral Warchief","각성한 선대의 대전사"
"Awakened Anger","각성한 분노"
"Awakened Animate Guardian","각성한 수호자 기동"
"Awakened Animate Weapon","각성한 무기 기동"
"Awakened Arc","각성한 연쇄 번개"
"Awakened Arcane Cloak","각성한 비전의 망토"
"Awakened Arcane Surge","각성한 비전 쇄도 보조"
"Awakened Arcanist Brand","각성한 신비학자 낙인"
"Awakened Archmage","각성한 대마법사 보조"
"Awakened Arctic Armour","각성한 한기의 방어구"
"Awakened Armageddon Brand","각성한 종말의 낙인"
"Awakened Arrogance","각성한 오만 보조"
"Awakened Arrow Nova","각성한 화살 산개 보조"
"Awakened Artillery Ballista","각성한 포대 쇠뇌"
"Awakened Assassin's Mark","각성한 암살자의 징표"
"Awakened Ball Lightning","각성한 구형 번개"
"Awakened Ballista Totem","각성한 쇠뇌 토템 보조"
"Awakened Bane","각성한 파멸"
"Awakened Barrage","각성한 연발 사격"
"Awakened Barrage Support","각성한 연발 사격 보조"
"Awakened Battlemage's Cry","각성한 전투마법사의 함성"
"Awakened Bear Trap","각성한 곰 덫"
"Awakened Behead","각성한 참수 보조"
"Awakened Berserk","각성한 광폭"
"Awakened Blade Blast","각성한 칼날 폭격"
"Awakened Blade Flurry","각성한 질풍의 칼날"
"Awakened Blade Trap","각성한 칼날 덫"
"Awakened Blade Vortex","각성한 칼날 소용돌이"
"Awakened Bladefall","각성한 칼날비"
"Awakened Bladestorm","각성한 칼날 폭풍"
"Awakened Blasphemy","각성한 신성 모독 보조"
"Awakened Blast Rain","각성한 폭발 화살비"
"Awakened Blastchain Mine","각성한 연쇄 폭발 지뢰 보조"
"Awakened Blazing Salvo","각성한 맹렬한 포격"
"Awakened Blight","각성한 황폐"
"Awakened Blind","각성한 실명 보조"
"Awakened Blink Arrow","각성한 점멸 화살"
"Awakened Block Chance Reduction","각성한 막기 확률 감소 보조"
"Awakened Blood and Sand","각성한 피와 모래"
"Awakened Blood Rage","각성한 피의 격노"
"Awakened Bloodlust","각성한 유혈 충동 보조"
"Awakened Bloodthirst","각성한 피의 갈증 보조"
"Awakened Bodyswap","각성한 신체 전환"
"Awakened Bone Offering","각성한 뼈 공물"
"Awakened Bonechill","각성한 사무치는 한기 보조"
"Awakened Boneshatter","각성한 뼈 박살"
"Awakened Brand Recall","각성한 낙인 소환"
"Awakened Brutality","각성한 포악함 보조"
"Awakened Burning Arrow","각성한 불타는 화살"
"Awakened Burning Damage","각성한 화상 피해 보조"
"Awakened Cast On Critical Strike","각성한 치명타 시 시전 보조"
"Awakened Cast on Death","각성한 사망 시 시전 보조"
"Awakened Cast on Melee Kill","각성한 근접 처치 시 시전 보조"
"Awakened Cast when Damage Taken","각성한 피격 시 시전 보조"
"Awakened Cast when Stunned","각성한 기절 시 시전 보조"
"Awakened Cast while Channelling","각성한 집중 유지 중 시전 보조"
"Awakened Caustic Arrow","각성한 부식성 화살"
"Awakened Chain","각성한 연쇄 보조"
"Awakened Chain Hook","각성한 사슬 갈고리"
"Awakened Chance to Bleed","각성한 출혈 확률 보조"
"Awakened Chance to Flee","각성한 도망칠 확률 보조"
"Awakened Chance to Poison","각성한 중독 확률 보조"
"Awakened Charged Dash","각성한 충전 질주"
"Awakened Charged Mines","각성한 충전된 지뢰 보조"
"Awakened Charged Traps","각성한 충전된 덫 보조"
"Awakened Clarity","각성한 명상"
"Awakened Cleave","각성한 회전베기"
"Awakened Close Combat","각성한 근접 전투 보조"
"Awakened Cluster Traps","각성한 무리 덫 보조"
"Awakened Cobra Lash","각성한 코브라 채찍"
"Awakened Cold Penetration","각성한 냉기 관통 보조"
"Awakened Cold Snap","각성한 한파"
"Awakened Cold to Fire","각성한 냉기 화염 전환 보조"
"Awakened Combustion","각성한 연소 보조"
"Awakened Concentrated Effect","각성한 효과 집중 보조"
"Awakened Conductivity","각성한 전도성"
"Awakened Consecrated Path","각성한 축성의 진격"
"Awakened Contagion","각성한 전염"
"Awakened Controlled Destruction","각성한 제어된 파괴 보조"
"Awakened Conversion Trap","각성한 전향 덫"
"Awakened Convocation","각성한 소집"
"Awakened Corrupting Fever","각성한 타락한 열병"
"Awakened Crackling Lance","각성한 치직대는 창"
"Awakened Creeping Frost","각성한 엄습하는 서리"
"Awakened Cremation","각성한 시체 소각"
"Awakened Critical Strike Affliction","각성한 치명타 고통 격화 보조"
"Awakened Cruelty","각성한 잔혹 보조"
"Awakened Culling Strike","각성한 마무리 타격 보조"
"Awakened Cursed Ground","각성한 저주받은 지대 보조"
"Awakened Cyclone","각성한 회오리바람"
"Awakened Damage on Full Life","각성한 최대 생명력 시 피해 보조"
"Awakened Dark Pact","각성한 어둠의 서약"
"Awakened Dash","각성한 질주"
"Awakened Deadly Ailments","각성한 치명적인 상태 이상 보조"
"Awakened Decay","각성한 부패 보조"
"Awakened Decoy Totem","각성한 미끼 토템"
"Awakened Defiance Banner","각성한 저항의 깃발"
"Awakened Desecrate","각성한 모독"
"Awakened Despair","각성한 절망"
"Awakened Destructive Link","각성한 파괴의 연결"
"Awakened Determination","각성한 결의"
"Awakened Detonate Dead","각성한 시체 폭발"
"Awakened Detonate Mines","각성한 지뢰 폭발"
"Awakened Devouring Totem","각성한 포식 토템"
"Awakened Discharge","각성한 방출"
"Awakened Discipline","각성한 단련"
"Awakened Divine Blessing","각성한 신성한 축복 보조"
"Awakened Divine Ire","각성한 신성한 진노"
"Awakened Dominating Blow","각성한 지배의 맹타"
