"Absolution of Inspiring","격려의 면죄"
"Molten Strike of the Zenith (FullDPS)","^7북극성의 용암 타격 ^x5CF0BB(전체DPS)"
"Pacify (FullDPS)","^7진정 ^x5CF0BB(전체DPS)"
"Penance Brand of Conduction (FullDPS)","^7전도의 속죄의 낙인 ^x5CF0BB(전체DPS)"
"Penance Brand of Dissipation (FullDPS)","^7소실의 속죄의 낙인 ^x5CF0BB(전체DPS)"
"Penance Mark (FullDPS)","^7속죄의 징표 ^x5CF0BB(전체DPS)"
"Perforate of Bloodshed (FullDPS)","^7유혈의 천공 ^x5CF0BB(전체DPS)"
"Perforate of Duality (FullDPS)","^7이중성의 천공 ^x5CF0BB(전체DPS)"
"Power Siphon of the Archmage (FullDPS)","^7대마법사의 권능 착취 ^x5CF0BB(전체DPS)"
"Purifying Flame of Revelations (FullDPS)","^7계시의 정화의 불길 ^x5CF0BB(전체DPS)"
"Pyroclast Mine of Sabotage (FullDPS)","^7방해 공작의 화산탄 지뢰 ^x5CF0BB(전체DPS)"
"Rage Vortex of Berserking (FullDPS)","^7광폭화의 격노 소용돌이 ^x5CF0BB(전체DPS)"
"Rain of Arrows of Artillery (FullDPS)","^7포대의 화살비 ^x5CF0BB(전체DPS)"
"Rain of Arrows of Saturation (FullDPS)","^7포화의 화살비 ^x5CF0BB(전체DPS)"
"Raise Spectre of Transience (FullDPS)","^7덧없음의 망령 소환 ^x5CF0BB(전체DPS)"
"Raise Zombie of Falling (FullDPS)","^7추락의 좀비 소환 ^x5CF0BB(전체DPS)"
"Raise Zombie of Slamming (FullDPS)","^7강타의 좀비 소환 ^x5CF0BB(전체DPS)"
"Ravenous (FullDPS)","^7굶주림 ^x5CF0BB(전체DPS)"
"Reave of Refraction (FullDPS)","^7굴절의 약탈 ^x5CF0BB(전체DPS)"
"Righteous Fire of Arcane Devotion (FullDPS)","^7비전 헌신의 정의의 화염 ^x5CF0BB(전체DPS)"
"Rune Blast of Teleportation (FullDPS)","^7순간이동의 룬 폭발 ^x5CF0BB(전체DPS)"
"Scorching Ray of Immolation (FullDPS)","^7제물의 작열 광선 ^x5CF0BB(전체DPS)"
"Scourge Arrow of Menace (FullDPS)","^7위험의 재앙의 화살 ^x5CF0BB(전체DPS)"
"Seismic Trap of Swells (FullDPS)","^7팽창의 지진 덫 ^x5CF0BB(전체DPS)"
"Shattering Steel of Ammunition (FullDPS)","^7탄약의 강철 파편 ^x5CF0BB(전체DPS)"
"Shield Crush of the Chieftain (FullDPS)","^7부족장의 방패 타쇄 ^x5CF0BB(전체DPS)"
"Shrapnel Ballista of Steel (FullDPS)","^7강철의 파편 쇠뇌 ^x5CF0BB(전체DPS)"
"Siege Ballista of Splintering (FullDPS)","^7파편의 공성 쇠뇌 ^x5CF0BB(전체DPS)"
"Smite of Divine Judgement (FullDPS)","^7신성한 심판의 징벌 ^x5CF0BB(전체DPS)"
"Soulrend of Reaping (FullDPS)","^7낫질의 영혼 분리 ^x5CF0BB(전체DPS)"
"Soulrend of the Spiral (FullDPS)","^7나선의 영혼 분리 ^x5CF0BB(전체DPS)"
"Spark of Unpredictability (FullDPS)","^7예측 불허의 전기불꽃 ^x5CF0BB(전체DPS)"
"Spark of the Nova (FullDPS)","^7폭발의 전기불꽃 ^x5CF0BB(전체DPS)"
"Spectral Shield Throw of Shattering (FullDPS)","^7산산조각의 환영 방패 투척 ^x5CF0BB(전체DPS)"
"Spectral Throw of Materialising (FullDPS)","^7구체화의 환영 무기 투척 ^x5CF0BB(전체DPS)"
"Split Arrow of Splitting (FullDPS)","^7분할의 분할 화살 ^x5CF0BB(전체DPS)"
"Splitting Steel of Ammunition (FullDPS)","^7탄약의 강철 분할 ^x5CF0BB(전체DPS)"
"Spray Paint Blood (FullDPS)","^7핏빛 물감 뿌리기 ^x5CF0BB(전체DPS)"
"Spray Paint Celestial (FullDPS)","^7천공의 물감 뿌리기 ^x5CF0BB(전체DPS)"
"Spray Paint Magmatic (FullDPS)","^7마그마 물감 뿌리기 ^x5CF0BB(전체DPS)"
"Storm Brand of Indecision (FullDPS)","^7우유부단의 폭풍의 낙인 ^x5CF0BB(전체DPS)"
"Storm Rain of the Conduit (FullDPS)","^7도관의 폭풍우 ^x5CF0BB(전체DPS)"
"Storm Rain of the Fence (FullDPS)","^7울타리의 폭풍우 ^x5CF0BB(전체DPS)"
"Stormbind of Teleportation (FullDPS)","^7순간이동의 폭풍 연대 ^x5CF0BB(전체DPS)"
"Summon Carrion Golem of Hordes (FullDPS)","^7군단의 부패 골렘 소환 ^x5CF0BB(전체DPS)"
"Summon Carrion Golem of Scavenging (FullDPS)","^7청소부의 부패 골렘 소환 ^x5CF0BB(전체DPS)"
"Summon Chaos Golem of Hordes (FullDPS)","^7군단의 카오스 골렘 소환 ^x5CF0BB(전체DPS)"
"Summon Chaos Golem of the Maelström (FullDPS)","^7마엘스트롬의 카오스 골렘 소환 ^x5CF0BB(전체DPS)"
"Summon Dark Effigy (FullDPS)","^7어둠의 제웅 소환 ^x5CF0BB(전체DPS)"
"Summon Flame Golem of Hordes (FullDPS)","^7군단의 화염 골렘 소환 ^x5CF0BB(전체DPS)"
"Summon Flame Golem of the Meteor (FullDPS)","^7유성의 화염 골렘 소환 ^x5CF0BB(전체DPS)"
"Summon Ice Golem of Hordes (FullDPS)","^7군단의 얼음 골렘 소환 ^x5CF0BB(전체DPS)"
"Summon Ice Golem of Shattering (FullDPS)","^7산산조각의 얼음 골렘 소환 ^x5CF0BB(전체DPS)"
"Summon Lightning Golem of Hordes (FullDPS)","^7군단의 번개 골렘 소환 ^x5CF0BB(전체DPS)"
"Summon Raging Spirit of Enormity (FullDPS)","^7극악무도의 격노의 유령 소환 ^x5CF0BB(전체DPS)"
"Summon Reaper of Eviscerating (FullDPS)","^7적출의 수확자 소환 ^x5CF0BB(전체DPS)"
"Summon Reaper of Revenants (FullDPS)","^7원령의 수확자 소환 ^x5CF0BB(전체DPS)"
"Summon Skeletons of Archers (FullDPS)","^7궁수의 해골 소환 ^x5CF0BB(전체DPS)"
"Summon Skeletons of Mages (FullDPS)","^7마법사의 해골 소환 ^x5CF0BB(전체DPS)"
"Summon Stone Golem of Hordes (FullDPS)","^7군단의 돌 골렘 소환 ^x5CF0BB(전체DPS)"
"Summon Stone Golem of Safeguarding (FullDPS)","^7방비의 돌 골렘 소환 ^x5CF0BB(전체DPS)"
"Sunder of Earthbreaking (FullDPS)","^7대지 분쇄의 산산조각 ^x5CF0BB(전체DPS)"
"Tectonic Slam of Cataclysm (FullDPS)","^7대재앙의 지층 강타 ^x5CF0BB(전체DPS)"
"Tornado Shot of Cloudburst (FullDPS)","^7구름폭발의 회오리 사격 ^x5CF0BB(전체DPS)"
"Toxic Rain of Sporeburst (FullDPS)","^7포자 폭발의 맹독성 비 ^x5CF0BB(전체DPS)"
"Toxic Rain of Withering (FullDPS)","^7고사의 맹독성 비 ^x5CF0BB(전체DPS)"
"Viper Strike of the Mamba (FullDPS)","^7큰독사의 맹독 타격 ^x5CF0BB(전체DPS)"
"Void Sphere of Rending (FullDPS)","^7분리의 공허 구체 ^x5CF0BB(전체DPS)"
"Volatile Dead of Confinement (FullDPS)","^7감금의 시체 불덩이 ^x5CF0BB(전체DPS)"
"Volatile Dead of Seething (FullDPS)","^7끓어오름의 시체 불덩이 ^x5CF0BB(전체DPS)"
"Volcanic Fissure of Snaking (FullDPS)","^7구불거림의 화산 균열 ^x5CF0BB(전체DPS)"
"Vortex of Projection (FullDPS)","^7투영의 소용돌이 ^x5CF0BB(전체DPS)"
"Wild Strike of Extremes (FullDPS)","^7극단의 사나운 타격 ^x5CF0BB(전체DPS)"

"Portal (Active) (FullDPS)","^7포탈 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Absolution of Inspiring (Active) (FullDPS)","^7격려의 면죄 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Animate Guardian of Smiting (Active) (FullDPS)","^7징벌의 수호자 기동 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Animate Weapon of Ranged Arms (Active) (FullDPS)","^7원거리 병기의 무기 기동 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Animate Weapon of Self Reflection (Active) (FullDPS)","^7자기 반사의 무기 기동 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Arc of Oscillating (Active) (FullDPS)","^7뇌동의 연쇄 번개 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Arc of Surging (Active) (FullDPS)","^7쇄도의 연쇄 번개 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Armageddon Brand of Recall (Active) (FullDPS)","^7소환의 종말의 낙인 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Armageddon Brand of Volatility (Active) (FullDPS)","^7일촉즉발의 종말의 낙인 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Ball Lightning of Orbiting (Active) (FullDPS)","^7공전의 구형 번개 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Ball Lightning of Static (Active) (FullDPS)","^7정전기의 구형 번개 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Bane of Condemnation (Active) (FullDPS)","^7규탄의 파멸 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Barrage of Volley Fire (Active) (FullDPS)","^7일제 포격의 연발 사격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Bear Trap of Skewers (Active) (FullDPS)","^7꼬챙이의 곰 덫 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Blade Blast of Dagger Detonation (Active) (FullDPS)","^7단검 폭파의 칼날 폭격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Blade Blast of Unloading (Active) (FullDPS)","^7난사의 칼날 폭격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Blade Flurry of Incision (Active) (FullDPS)","^7절개의 질풍의 칼날 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Blade Trap of Greatswords (Active) (FullDPS)","^7대검의 칼날 덫 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Blade Trap of Laceration (Active) (FullDPS)","^7열상의 칼날 덫 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Blade Vortex of the Scythe (Active) (FullDPS)","^7낫의 칼날 소용돌이 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Bladefall of Impaling (Active) (FullDPS)","^7꿰뚫기의 칼날비 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Bladefall of Volleys (Active) (FullDPS)","^7사격 공세의 칼날비 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Bladestorm of Uncertainty (Active) (FullDPS)","^7불확실성의 칼날 폭풍 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Blight of Atrophy (Active) (FullDPS)","^7위축의 황폐 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Blight of Contagion (Active) (FullDPS)","^7전염의 황폐 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Blink Arrow of Bombarding Clones (Active) (FullDPS)","^7포격 분신의 점멸 화살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Blink Arrow of Prismatic Clones (Active) (FullDPS)","^7분광 분신의 점멸 화살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Bodyswap of Sacrifice (Active) (FullDPS)","^7희생의 신체 전환 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Boneshatter of Carnage (Active) (FullDPS)","^7살육의 뼈 박살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Boneshatter of Complex Trauma (Active) (FullDPS)","^7복합 외상의 뼈 박살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Burning Arrow of Vigour (Active) (FullDPS)","^7활력의 불타는 화살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Caustic Arrow of Poison (Active) (FullDPS)","^7독의 부식성 화살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Cleave of Rage (Active) (FullDPS)","^7격노의 회전베기 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Cold Snap of Power (Active) (FullDPS)","^7권능의 한파 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Consecrated Path of Endurance (Active) (FullDPS)","^7인내의 축성의 진격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Contagion of Subsiding (Active) (FullDPS)","^7침하의 전염 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Contagion of Transference (Active) (FullDPS)","^7전이의 전염 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Crackling Lance of Branching (Active) (FullDPS)","^7파생의 치직대는 창 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Crackling Lance of Disintegration (Active) (FullDPS)","^7분해의 치직대는 창 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Cremation of Exhuming (Active) (FullDPS)","^7발굴의 시체 소각 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Cremation of the Volcano (Active) (FullDPS)","^7화산의 시체 소각 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Cyclone of Tumult (Active) (FullDPS)","^7소동의 회오리바람 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Detonate Dead of Chain Reaction (Active) (FullDPS)","^7연쇄 반응의 시체 폭발 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Detonate Dead of Scavenging (Active) (FullDPS)","^7청소부의 시체 폭발 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Discharge of Misery (Active) (FullDPS)","^7비참의 방출 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Divine Ire of Disintegration (Active) (FullDPS)","^7분해의 신성한 진노 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Divine Ire of Holy Lightning (Active) (FullDPS)","^7상서로운 번개의 신성한 진노 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Dominating Blow of Inspiring (Active) (FullDPS)","^7격려의 지배의 맹타 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Double Strike of Impaling (Active) (FullDPS)","^7꿰뚫기의 이중 타격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Double Strike of Momentum (Active) (FullDPS)","^7기세의 이중 타격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Dual Strike of Ambidexterity (Active) (FullDPS)","^7양손잡이의 쌍수 타격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Earthquake of Amplification (Active) (FullDPS)","^7증폭의 지진 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Earthshatter of Fragility (Active) (FullDPS)","^7허약의 지면 분쇄 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Earthshatter of Prominence (Active) (FullDPS)","^7출중의 지면 분쇄 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Essence Drain of Desperation (Active) (FullDPS)","^7필사의 정수 흡수 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Essence Drain of Wickedness (Active) (FullDPS)","^7사악함의 정수 흡수 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Ethereal Knives of Lingering Blades (Active) (FullDPS)","^7지속되는 칼날의 천상의 단도 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Ethereal Knives of the Massacre (Active) (FullDPS)","^7도륙의 천상의 단도 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Explosive Concoction of Destruction (Active) (FullDPS)","^7파괴의 폭발성 혼합물 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Explosive Trap of Magnitude (Active) (FullDPS)","^7규모의 폭발 덫 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Explosive Trap of Shrapnel (Active) (FullDPS)","^7파편의 폭발 덫 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Exsanguinate of Transmission (Active) (FullDPS)","^7전송의 방혈 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Eye of Winter of Finality (Active) (FullDPS)","^7종극의 겨울의 눈 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Eye of Winter of Transience (Active) (FullDPS)","^7덧없음의 겨울의 눈 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Fire Trap of Blasting (Active) (FullDPS)","^7폭발의 화염 덫 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Firestorm of Meteors (Active) (FullDPS)","^7유성의 화염 폭풍 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Firestorm of Pelting (Active) (FullDPS)","^7퍼부음의 화염 폭풍 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Flame Dash of Incinerating (Active) (FullDPS)","^7소각의 화염 질주 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Flame Dash of Return (Active) (FullDPS)","^7귀환의 화염 질주 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Flame Surge of Combusting (Active) (FullDPS)","^7발화의 화염 쇄도 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Flameblast of Celerity (Active) (FullDPS)","^7민첩함의 화염파 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Flameblast of Contraction (Active) (FullDPS)","^7수축의 화염파 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Flicker Strike of Power (Active) (FullDPS)","^7권능의 점멸 타격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Forbidden Rite of Soul Sacrifice (Active) (FullDPS)","^7영혼 희생의 금단의 의식 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Frenzy of Onslaught (Active) (FullDPS)","^7맹공의 격분 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Frost Blades of Katabasis (Active) (FullDPS)","^7퇴각의 서리 칼날 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Frost Bomb of Forthcoming (Active) (FullDPS)","^7임박의 서리 폭탄 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Frost Bomb of Instability (Active) (FullDPS)","^7불안정의 서리 폭탄 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Frostblink of Wintry Blast (Active) (FullDPS)","^7차가운 폭발의 서리점멸 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Frozen Legion of Rallying (Active) (FullDPS)","^7재집결의 얼어붙은 군단 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Galvanic Arrow of Energy (Active) (FullDPS)","^7에너지의 충격 화살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Galvanic Arrow of Surging (Active) (FullDPS)","^7쇄도의 충격 화살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Galvanic Field of Intensity (Active) (FullDPS)","^7격렬함의 충격장 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Glacial Cascade of the Fissure (Active) (FullDPS)","^7균열의 빙하 폭포 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Glacial Hammer of Shattering (Active) (FullDPS)","^7산산조각의 빙하 망치 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Ground Slam of Earthshaking (Active) (FullDPS)","^7지동의 대지 강타 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Hexblast of Contradiction (Active) (FullDPS)","^7상반의 사술폭발 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Hexblast of Havoc (Active) (FullDPS)","^7혼란의 사술폭발 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Holy Flame Totem of Ire (Active) (FullDPS)","^7노여움의 신성한 화염 토템 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Ice Crash of Cadence (Active) (FullDPS)","^7운율의 얼음 충격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Ice Nova of Deep Freeze (Active) (FullDPS)","^7결빙의 얼음 폭발 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Ice Nova of Frostbolts (Active) (FullDPS)","^7서리 구체의 얼음 폭발 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Ice Spear of Splitting (Active) (FullDPS)","^7분할의 얼음 창 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Ice Trap of Hollowness (Active) (FullDPS)","^7무상의 얼음 덫 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Icicle Mine of Fanning (Active) (FullDPS)","^7퍼짐의 고드름 지뢰 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Icicle Mine of Sabotage (Active) (FullDPS)","^7방해 공작의 고드름 지뢰 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Infernal Blow of Immolation (Active) (FullDPS)","^7제물의 지옥불 맹타 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Kinetic Bolt of Fragmentation (Active) (FullDPS)","^7파쇄의 역학 투사체 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lacerate of Butchering (Active) (FullDPS)","^7도살의 피부 찢기 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lacerate of Haemorrhage (Active) (FullDPS)","^7실혈의 피부 찢기 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lancing Steel of Spraying (Active) (FullDPS)","^7분사의 강철 관통 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Leap Slam of Groundbreaking (Active) (FullDPS)","^7땅 분쇄의 도약 강타 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lightning Arrow of Electrocution (Active) (FullDPS)","^7전기 처형의 번개 화살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lightning Conduit of the Heavens (Active) (FullDPS)","^7천국의 번개 도관 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lightning Spire Trap of Overloading (Active) (FullDPS)","^7과부하의 번개 첨탑 덫 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lightning Spire Trap of Zapping (Active) (FullDPS)","^7전류의 번개 첨탑 덫 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lightning Strike of Arcing (Active) (FullDPS)","^7전호의 번개 타격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lightning Tendrils of Eccentricity (Active) (FullDPS)","^7기행의 덩굴 번개 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lightning Tendrils of Escalation (Active) (FullDPS)","^7격화의 덩굴 번개 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Lightning Trap of Sparking (Active) (FullDPS)","^7전기불꽃의 번개 덫 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Mirror Arrow of Bombarding Clones (Active) (FullDPS)","^7포격 분신의 거울 화살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Mirror Arrow of Prismatic Clones (Active) (FullDPS)","^7분광 분신의 거울 화살 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Molten Strike of the Zenith (Active) (FullDPS)","^7북극성의 용암 타격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Pacify (Active) (FullDPS)","^7진정 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Penance Brand of Conduction (Active) (FullDPS)","^7전도의 속죄의 낙인 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Penance Brand of Dissipation (Active) (FullDPS)","^7소실의 속죄의 낙인 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Penance Mark (Active) (FullDPS)","^7속죄의 징표 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Perforate of Bloodshed (Active) (FullDPS)","^7유혈의 천공 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Perforate of Duality (Active) (FullDPS)","^7이중성의 천공 ^x60C060(활성) ^x5CF0BB(전체DPS)"
