add,翻譯
"Armour, Endurance Charge Duration",護甲、耐力球持續時間
"Armour, Evasion and Life",護甲、閃避與生命
"Armour, Evasion and Onslaught Effect",胸甲、閃避和猛攻效果
"Armour, Life Regeneration",護甲、生命回復
"Armour, Movement Speed",護甲、移動速度
"Armour, Stun Duration",護甲、暈眩時間
Armour:,護甲:
Armour/Energy Shield,護甲/能量護盾
Armour/Evasion,護甲/閃避
Armour/Evasion/Energy Shield,護甲/閃避/能量護盾
Armoured,物理減傷
Arn's Anguish,昂恩的煩惱
"Arohongui, Moon's Presence",月使．亞歐紅古
Arrogance,傲慢輔助
Arrow,箭矢
Arrow,箭矢
Arrow can inflict an additional Ignite on an Enemy,則【燃燒箭矢】對敵人造成額外 1 次點燃
Arrow Dancing,投射物閃避
Arrow Nova,箭矢新星輔助
Arrow Shotgun,箭矢
Arrow to the Face,面對面的箭頭
Arrows fired from the first firing points always Pierce,從初始發射位置發射的箭矢一定穿透
Arrows fired from the second firing points Fork,從第 2 個發射點發射的箭矢會分裂
Arrows fired from the third firing points Return to you,從第 3 個發射點發射的箭矢會返回你
Arrows Fork,箭矢分裂
Arrows Pierce 1 additional Target,箭矢穿透一個額外目標
Arrows Pierce all Targets,箭矢穿透所有目標
Arrows Pierce all Targets after Chaining,連鎖後的箭矢穿透所有目標
Arrows Pierce all Targets after Forking,箭矢分裂後穿透所有目標
Arrows Pierce an additional Target,箭矢穿透一個額外目標
Arrows that Pierce cause Bleeding,穿透的箭矢造成流血效果
Arrows which Pierce also Return,穿透的箭矢會返回
Arrowstorm,箭雨
Arsonist,縱火
Art of the Gladiator,鬥士藝術
Artillery Ballista,火砲砲塔
Artillery Ballista fires an additional Arrow,火砲砲塔發射 1 支額外箭矢
Artillery Ballista Projectiles fall in two perpendicular lines instead,火砲砲塔投射物改為垂直降落的兩條線
Artless Assassin,無情刺客
as Extra Fire Damage for 4 seconds,其數值等同於物理傷害的 100%，持續 4 秒
as these cannot be imported.,因為這些數據無法匯入
Ascendancy,昇華
Ascendant,昇華使徒
Ascent From Flesh,血軀昇華
Asenath's Chant,安賽娜絲的歌頌
Asenath's Gentle Touch,安賽娜絲的安撫之語
Asenath's Mark,安賽娜絲的迅敏之冠
Ash Prophet,烈火咒師
"Ash, Frost and Storm",三相之力
Ashblessed Warden,灰燼守望者
Ashcaller,灰燼行者
Ashes of the Stars,星塵
Ashes of the Sun,燼杵
Ashrend,拂燼
Ashscale Talisman,灰燼魔符
Aspect of Carnage,血肉之章
Aspect of Stone,巨石祝福
Aspect of the Avian,飛羽祝福
Aspect of the Avian also grants Avian's Might and Avian's Flight to nearby Allies,飛羽祝福使附近友方也獲得飛羽意志和飛羽飄翔
Aspect of the Avian:,【飛羽祝福】:
Aspect of the Cat,傲貓祝福
Aspect of the Cat has no Reservation,傲貓祝福無保留
Aspect of the Cat Reserves no Mana,傲貓祝福無魔力保留
Aspect of the Cat:,【傲貓祝福】:
Aspect of the Crab,蟹將祝福
Aspect of the Crab:,【蟹將祝福】:
Aspect of the Eagle,鷹靈祝福
Aspect of the Lynx,山貓之靈
Aspect of the Panther,獵豹祝福
Aspect of the Spider,毒蛛祝福
Aspect of the Spider can inflict Spider's Web on Enemies an additional time,毒蛛祝福可以對敵人額外造成 1 次蛛網
Aspect of the Spider:,【毒蛛祝福】:
Asphyxia's Wrath,冰靈之吼
Assailum,刺殺
Assassin,刺客
Assassin Bow,暗殺弓
Assassin's Boots,刺殺者之靴
Assassin's Garb,刺殺者之裝
Assassin's Haste,刺殺者迷影
Assassin's Mark,刺客印記
Assassin's Mark:,【刺客印記】:
Assassin's Mitts,刺殺者護手
Assassination,刺殺
Assembler Wand,拼裝法杖
Assert Dominance,維護地位
Assured Strike,珍重打擊
Astonishing Affliction,驚奇痛楚
Astral Plate,星芒戰鎧
Astral Projector,星空之影
Astramentis,均衡之符
Astrolabe Amulet,星盤護身符
Asylum,避難所
"At 10 Defiance, take Reflected Physical Damage equal to maximum Life, then lose all Defiance",抗爭 10 層時，承受等同於最大生命的反射物理傷害，接著失去所有抗爭
At least one Perandus Chest is guarded by a Unique Monster,區域中至少 1 個普蘭德斯保險箱受到傳奇怪物的保護
At least one Shine in this Area is a Divine Shrine,下個區域包含至少 1 座聖潔神殿
At least one Shine in this Area is an Acceleration Shrine,下個區域包含至少 1 座迅速神殿
At least one Shine in this Area is an Echoing Shrine,下個區域包含至少 1 座回響神殿
Atlas Riftwalk,異界迷蹤
Atonement Mask,贖罪面具
Atop the Atlas,輿圖之巔
Atrophy,萎縮
Attack,攻擊
Attack and Cast Speed,攻擊和施放速度
"Attack and Cast Speed, Accuracy",命中、攻擊速度與施放速度
"Attack and Cast Speed, Damage",攻擊和施放速度、傷害
"Attack and Cast Speed, Damage Over Time",攻擊和施放速度、持續傷害
"Attack and Cast Speed, Evasion and Energy Shield",攻擊和施放速度、閃避和能量護盾
"Attack and Cast Speed, Frenzy Charge Duration",攻擊和施放速度、狂怒球持續時間
"Attack and Cast Speed, Maximum Mana",攻擊和施放速度、最大魔力
Attack and Minion Damage,攻擊和召喚物傷害
Attack and Movement Speed,攻擊與移動速度
Attack Blind Mastery,攻擊致盲專精
Attack Critical Strikes ignore Enemy Monster Elemental Resistances,攻擊暴擊無視敵人怪物元素抗性
Attack Damage,攻擊傷害
Attack Damage and Accuracy,攻擊傷害和命中
Attack Damage and Accuracy with Shield,攻擊傷害和持盾命中
Attack Damage and Attack Speed with Shield,持盾攻擊傷害和攻擊速度
Attack Damage and Leech,攻擊傷害和偷取
Attack Damage and Speed,攻擊傷害和速度
Attack Damage and Speed while Fortified,護體時攻擊傷害和速度
Attack Damage and Speed with Shield,攻擊傷害和持盾速度
Attack Damage is Lucky if you've Blocked in the past 20 seconds,若過去 20 秒你有格檔，攻擊傷害很幸運
Attack Damage Mastery,攻擊傷害專精
Attack Damage Penetrates 10% of Enemy Elemental Resistances,攻擊傷害穿透 10% 敵人的元素抗性
Attack Damage Penetrates 3% of Enemy Elemental Resistances,攻擊傷害穿透 3% 敵人的元素抗性
Attack Damage Penetrates 4% of Enemy Elemental Resistances,攻擊傷害穿透 4% 敵人的元素抗性
Attack Damage Penetrates 5% of Enemy Elemental Resistances,攻擊傷害穿透 5% 敵人的元素抗性
Attack Damage Penetrates 6% of Enemy Elemental Resistances,攻擊傷害穿透 6% 敵人的元素抗性
Attack Damage while Dual Wielding,雙持攻擊傷害
Attack Damage while Dual Wielding Mastery,雙持攻擊傷害專精
Attack Damage while Fortified,護體時攻擊傷害
Attack Damage while Fortified and Fortify Duration,護體時攻擊傷害和護體持續時間
Attack Damage while holding a Shield,持盾攻擊傷害
Attack Damage while holding a Shield Mastery,持盾攻擊傷害專精
Attack Damage with Shield,持盾攻擊傷害
"Attack Damage, Area of Effect",攻擊傷害、範圍效果
"Attack Damage, Armour and Evasion",攻擊傷害、護甲和閃避
"Attack Damage, Attack Speed",攻擊傷害、攻擊速度
"Attack Damage, Critical Strike Chance",攻擊傷害、暴擊率
"Attack Damage, Frenzy and Endurance Charge Duration",攻擊傷害、狂怒和耐力球持續時間
"Attack Damage, Life Leech",攻擊傷害、生命偷取
Attack Dodge Chance,攻擊躲避機率
Attack Dodge Chance:,攻擊躲避機率:
Attack Ignite Chance,攻擊點燃機率
Attack Ignite Chance and Attack Speed,攻擊點燃機率和攻擊速度
Attack Mastery,攻擊專精
"Attack Projectiles always inflict Bleeding and Maim, and Knock Back Enemies",攻擊投射物一並造成流血、癱瘓和擊退敵人
Attack Projectiles Return to you,攻擊投射物會返還
Attack Projectiles Return to you at end of flight,攻擊投射物達行跡終點後返還
Attack Projectiles Return to you from final Target,攻擊投射物從最終目標返還
Attack Rate,攻擊速度
Attack Rate:,攻擊速度:
Attack Skills deal 10% increased Damage while Dual Wielding,雙持時攻擊技能增加 10% 傷害
Attack Skills deal 10% increased Damage while holding a Shield,持盾時攻擊技能增加 10% 傷害
Attack Skills deal 10% increased Damage with Ailments while Dual Wielding,雙持武器時攻擊技能增加 10% 異常狀態傷害
Attack Skills deal 10% increased Damage with Ailments while holding a Shield,持盾時攻擊技能增加 10% 異常狀態傷害
Attack Skills deal 12% increased Damage while Dual Wielding,雙持時攻擊技能增加 12% 傷害
Attack Skills deal 12% increased Damage while holding a Shield,持盾時攻擊技能增加 12% 傷害
Attack Skills deal 12% increased Damage with Ailments while Dual Wielding,雙持時，攻擊技能造成的異常狀態傷害增加 12%
Attack Skills deal 12% increased Damage with Ailments while holding a Shield,持盾時攻擊技能增加 12% 異常狀態傷害
Attack Skills deal 14% increased Damage with Ailments while holding a Shield,持盾時攻擊技能增加 14% 異常狀態傷害
Attack Skills deal 15% increased Damage while Dual Wielding,雙持時攻擊技能增加 15% 傷害
Attack Skills deal 15% increased Damage while holding a Shield,持盾時攻擊技能增加 15% 傷害
Attack Skills deal 15% increased Damage with Ailments while holding a Shield,持盾牌時，攻擊技能造成的異常狀態傷害增加 15%
Attack Skills deal 16% increased Damage while Dual Wielding,雙持時攻擊技能增加 16% 傷害
Attack Skills deal 16% increased Damage with Ailments while Dual Wielding,雙持時，攻擊技能造成的異常狀態傷害增加 16%
Attack Skills deal 20% increased Damage while Dual Wielding,雙持時攻擊技能增加 20% 傷害
Attack Skills deal 20% increased Damage while holding a Shield,持盾時攻擊技能增加 20% 傷害
Attack Skills deal 20% increased Damage with Ailments while Dual Wielding,雙持時，攻擊技能造成的異常狀態傷害增加 20%
Attack Skills deal 20% increased Damage with Ailments while holding a Shield,持盾牌時，攻擊技能造成的異常狀態傷害增加 20%
Attack Skills deal 24% increased Damage while Dual Wielding,雙持時攻擊技能增加 24% 傷害
Attack Skills deal 24% increased Damage while holding a Shield,持盾時攻擊技能增加 24% 傷害
Attack Skills deal 24% increased Damage with Ailments while Dual Wielding,雙持時，攻擊技能造成的異常狀態傷害增加 24%
Attack Skills deal 25% increased Damage while Dual Wielding,雙持時攻擊技能增加 25% 傷害
Attack Skills deal 25% increased Damage with Ailments while Dual Wielding,雙持武器時攻擊技能增加 25% 異常狀態傷害
Attack Skills deal 25% increased Damage with Ailments while holding a Shield,持盾牌時，攻擊技能造成的異常狀態傷害增加 25%
Attack Skills deal 30% increased Damage with Ailments while holding a Shield,持盾時攻擊技能增加 30% 異常狀態傷害
Attack Skills deal 50% increased Damage with Ailments while Dual Wielding,雙持時，攻擊技能造成的異常狀態傷害增加 50%
Attack Skills deal 8% increased Damage while Dual Wielding,雙持時攻擊技能增加 8% 傷害
Attack Skills deal 8% increased Damage while holding a Shield,持盾時攻擊技能增加 8% 傷害
Attack Skills deal 8% increased Damage with Ailments while Dual Wielding,雙持時，攻擊技能造成的異常狀態傷害增加 8%
Attack Skills deal 8% increased Damage with Ailments while holding a Shield,持盾牌時，攻擊技能造成的異常狀態傷害增加 8%
Attack Skills fire an additional Projectile while wielding a Claw or Dagger,持爪或匕首時，攻擊技能發射 1 個額外投射物
Attack Skills have +1 to maximum number of Summoned Ballista Totems,攻擊技能使召喚砲塔圖騰最大數量 +1
Attack Speed,攻擊速度
Attack Speed and Accuracy,攻擊速度與命中
Attack Speed and Dexterity,攻擊速度與敏捷
Attack Speed and One Handed Damage,攻擊速度和單手武器傷害
Attack Speed and Poison Chance,攻擊速度和中毒機率
Attack Speed and Poison Duration,攻擊速度和中毒持續時間
Attack Speed and Rage,攻擊速度和盛怒
Attack Speed per Frenzy Charge,每顆狂怒球攻擊速度
"Attack Speed, Block Chance",攻擊速度、格擋率
"Attack Speed, Movement Speed",攻擊速度、移動速度
"Attack Speed, Physical Damage",攻擊速度、物理傷害
"Attack Speed, Poison Damage and Poison Damage Multiplier",攻擊速度、烈毒傷害和烈毒傷害加成
Attack time:,攻擊時間:
Attack/Cast Rate,攻擊/施放速度
Attack/Cast Rate:,攻擊/施放速度:
Attacks always Ignite,火焰傷害的攻擊點燃敵人
Attacks always inflict Bleeding while you have Cat's Stealth,你有傲貓隱身時攻擊造成流血
